ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
41247,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),AR#000398,GL0006590,2016-09-01,,B-008,PNB,36000.00,0
41248,AM-LT000019,SKY DIRECT,Payment,Security Deposit Payable,AR#000398,GL0006590,2016-09-01,,B-008,PNB,0,-36000.00
41301,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),AR#000447,GL0006617,2017-10-09,,B-008,PNB,1800.00,0
41302,AM-LT000019,SKY DIRECT,Payment,Security Deposit Payable,AR#000447,GL0006617,2017-10-09,,B-008,PNB,0,-1800.00
17057,AM-LT000019,SKY DIRECT,Invoice,Rent Receivables,IC0002135,GL0002679,2018-08-31,2018-09-10,,,13482.00,0
17071,AM-LT000019,SKY DIRECT,Invoice,A/R  Non Trade External,IC0002138,GL0002682,2018-08-31,2018-09-10,,,2510.00,0
17059,AM-LT000019,SKY DIRECT,Invoice,Creditable WHT Receivable,IC0002135,GL0002679,2018-08-31,2018-09-10,,,630.00,0
17074,AM-LT000019,SKY DIRECT,Invoice,MI-Charges,IC0002138,GL0002682,2018-08-31,2018-09-10,,,0,-500.00
17073,AM-LT000019,SKY DIRECT,Invoice,MI-Aircon Charges,IC0002138,GL0002682,2018-08-31,2018-09-10,,,0,-500.00
17075,AM-LT000019,SKY DIRECT,Invoice,MI-Light and Power,IC0002138,GL0002682,2018-08-31,2018-09-10,,,0,-510.00
17072,AM-LT000019,SKY DIRECT,Invoice,MI-Common Utilities,IC0002138,GL0002682,2018-08-31,2018-09-10,,,0,-1000.00
17058,AM-LT000019,SKY DIRECT,Invoice,VAT Output,IC0002135,GL0002679,2018-08-31,2018-09-10,,,0,-1512.00
17060,AM-LT000019,SKY DIRECT,Invoice,Rent Income,IC0002135,GL0002679,2018-08-31,2018-09-10,,,0,-12600.00
19571,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR000477,GL0002679,2018-09-03,,B-008,PNB - Main,13482.00,0
19573,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR000477,GL0002682,2018-09-03,,B-008,PNB - Main,2510.00,0
19574,AM-LT000019,SKY DIRECT,Payment,A/R  Non Trade External,PR000477,GL0002682,2018-09-03,,B-008,PNB - Main,0,-2510.00
19572,AM-LT000019,SKY DIRECT,Payment,Rent Receivables,PR000477,GL0002679,2018-09-03,,B-008,PNB - Main,0,-13482.00
23382,AM-LT000019,SKY DIRECT,Invoice,Rent Receivables,IC0003024,GL0003787,2018-09-30,2018-10-10,,,13819.05,0
23347,AM-LT000019,SKY DIRECT,Invoice,A/R  Non Trade External,IC0003018,GL0003779,2018-09-30,2018-10-10,,,2560.00,0
23384,AM-LT000019,SKY DIRECT,Invoice,Creditable WHT Receivable,IC0003024,GL0003787,2018-09-30,2018-10-10,,,645.75,0
23351,AM-LT000019,SKY DIRECT,Invoice,MI-Charges,IC0003018,GL0003779,2018-09-30,2018-10-10,,,0,-500.00
23348,AM-LT000019,SKY DIRECT,Invoice,MI-Aircon Charges,IC0003018,GL0003779,2018-09-30,2018-10-10,,,0,-500.00
23350,AM-LT000019,SKY DIRECT,Invoice,MI-Light and Power,IC0003018,GL0003779,2018-09-30,2018-10-10,,,0,-560.00
23349,AM-LT000019,SKY DIRECT,Invoice,MI-Common Utilities,IC0003018,GL0003779,2018-09-30,2018-10-10,,,0,-1000.00
23383,AM-LT000019,SKY DIRECT,Invoice,VAT Output,IC0003024,GL0003787,2018-09-30,2018-10-10,,,0,-1549.80
23385,AM-LT000019,SKY DIRECT,Invoice,Rent Income,IC0003024,GL0003787,2018-09-30,2018-10-10,,,0,-12915.00
25419,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR0005573,GL0003787,2018-10-08,,B-008,PNB - Main,13819.05,0
25417,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR0005573,GL0003779,2018-10-08,,B-008,PNB - Main,2560.00,0
25421,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR0005573,GL0004116,2018-10-08,,B-008,PNB - Main,1890.00,0
25422,AM-LT000019,SKY DIRECT,Payment,Security Deposit Payable,PR0005573,GL0004116,2018-10-08,,B-008,PNB - Main,0,-1890.00
25418,AM-LT000019,SKY DIRECT,Payment,A/R  Non Trade External,PR0005573,GL0003779,2018-10-08,,B-008,PNB - Main,0,-2560.00
25420,AM-LT000019,SKY DIRECT,Payment,Rent Receivables,PR0005573,GL0003787,2018-10-08,,B-008,PNB - Main,0,-13819.05
26649,AM-LT000019,SKY DIRECT,Invoice,Rent Receivables,IC0003355,GL0004226,2018-10-31,2018-11-10,,,14156.10,0
26657,AM-LT000019,SKY DIRECT,Invoice,A/R  Non Trade External,IC0003357,GL0004228,2018-10-31,2018-11-10,,,2420.00,0
26651,AM-LT000019,SKY DIRECT,Invoice,Creditable WHT Receivable,IC0003355,GL0004226,2018-10-31,2018-11-10,,,661.50,0
26660,AM-LT000019,SKY DIRECT,Invoice,MI-Light and Power,IC0003357,GL0004228,2018-10-31,2018-11-10,,,0,-420.00
26661,AM-LT000019,SKY DIRECT,Invoice,MI-Charges,IC0003357,GL0004228,2018-10-31,2018-11-10,,,0,-500.00
26658,AM-LT000019,SKY DIRECT,Invoice,MI-Aircon Charges,IC0003357,GL0004228,2018-10-31,2018-11-10,,,0,-500.00
26659,AM-LT000019,SKY DIRECT,Invoice,MI-Common Utilities,IC0003357,GL0004228,2018-10-31,2018-11-10,,,0,-1000.00
26650,AM-LT000019,SKY DIRECT,Invoice,VAT Output,IC0003355,GL0004226,2018-10-31,2018-11-10,,,0,-1587.60
26652,AM-LT000019,SKY DIRECT,Invoice,Rent Income,IC0003355,GL0004226,2018-10-31,2018-11-10,,,0,-13230.00
29836,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR0005634,GL0004226,2018-11-08,,B-008,PNB - Main,14156.10,0
29838,AM-LT000019,SKY DIRECT,Payment,Cash in Bank (Peso),PR0005634,GL0004228,2018-11-08,,B-008,PNB - Main,2420.00,0
29839,AM-LT000019,SKY DIRECT,Payment,A/R  Non Trade External,PR0005634,GL0004228,2018-11-08,,B-008,PNB - Main,0,-2420.00
29837,AM-LT000019,SKY DIRECT,Payment,Rent Receivables,PR0005634,GL0004226,2018-11-08,,B-008,PNB - Main,0,-14156.10
32473,AM-LT000019,SKY DIRECT,Invoice,Rent Receivables,IC0004122,GL0005172,2018-11-30,2018-12-10,,,14156.10,0
32477,AM-LT000019,SKY DIRECT,Invoice,A/R  Non Trade External,IC0004123,GL0005173,2018-11-30,2018-12-10,,,2513.68,0
32475,AM-LT000019,SKY DIRECT,Invoice,Creditable WHT Receivable,IC0004122,GL0005172,2018-11-30,2018-12-10,,,661.50,0
32478,AM-LT000019,SKY DIRECT,Invoice,MI-Aircon Charges,IC0004123,GL0005173,2018-11-30,2018-12-10,,,0,-500.00
32480,AM-LT000019,SKY DIRECT,Invoice,MI-Light and Power,IC0004123,GL0005173,2018-11-30,2018-12-10,,,0,-500.00
