ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
41275,AM-LT000026,BENTE SILOG,Payment,Cash in Bank (Peso),AR#000425,GL0006604,2017-03-13,,B-008,PNB,75000.00,0
41276,AM-LT000026,BENTE SILOG,Payment,Security Deposit Payable,AR#000425,GL0006604,2017-03-13,,B-008,PNB,0,-75000.00
18711,AM-LT000026,BENTE SILOG,Invoice,Rent Receivables,IC0002451,GL0003038,2018-05-31,2018-06-10,,,27552.50,0
18715,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,IC0002452,GL0003039,2018-05-31,2018-06-10,,,19054.13,0
18713,AM-LT000026,BENTE SILOG,Invoice,Creditable WHT Receivable,IC0002451,GL0003038,2018-05-31,2018-06-10,,,1287.50,0
18712,AM-LT000026,BENTE SILOG,Invoice,VAT Output,IC0002451,GL0003038,2018-05-31,2018-06-10,,,0,-3090.00
18719,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,IC0002452,GL0003039,2018-05-31,2018-06-10,,,0,-3114.05
18716,AM-LT000026,BENTE SILOG,Invoice,MI-Charges,IC0002452,GL0003039,2018-05-31,2018-06-10,,,0,-15940.08
18714,AM-LT000026,BENTE SILOG,Invoice,Rent Income,IC0002451,GL0003038,2018-05-31,2018-06-10,,,0,-25750.00
18741,AM-LT000026,BENTE SILOG,Invoice,Rent Receivables,IC0002453,GL0003040,2018-06-30,2018-07-10,,,27552.50,0
18754,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,IC0002456,GL0003043,2018-06-30,2018-07-10,,,20444.15,0
18743,AM-LT000026,BENTE SILOG,Invoice,Creditable WHT Receivable,IC0002453,GL0003040,2018-06-30,2018-07-10,,,1287.50,0
18756,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,IC0002456,GL0003043,2018-06-30,2018-07-10,,,0,-941.11
18742,AM-LT000026,BENTE SILOG,Invoice,VAT Output,IC0002453,GL0003040,2018-06-30,2018-07-10,,,0,-3090.00
18755,AM-LT000026,BENTE SILOG,Invoice,MI-Charges,IC0002456,GL0003043,2018-06-30,2018-07-10,,,0,-19503.04
18744,AM-LT000026,BENTE SILOG,Invoice,Rent Income,IC0002453,GL0003040,2018-06-30,2018-07-10,,,0,-25750.00
18764,AM-LT000026,BENTE SILOG,Invoice,Rent Receivables,IC0002457,GL0003047,2018-07-31,2018-08-10,,,27285.00,0
18768,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,IC0002458,GL0003048,2018-07-31,2018-08-10,,,17307.95,0
18766,AM-LT000026,BENTE SILOG,Invoice,Creditable WHT Receivable,IC0002457,GL0003047,2018-07-31,2018-08-10,,,1275.00,0
18765,AM-LT000026,BENTE SILOG,Invoice,VAT Output,IC0002457,GL0003047,2018-07-31,2018-08-10,,,0,-3060.00
18769,AM-LT000026,BENTE SILOG,Invoice,MI-Charges,IC0002458,GL0003048,2018-07-31,2018-08-10,,,0,-17307.95
18767,AM-LT000026,BENTE SILOG,Invoice,Rent Income,IC0002457,GL0003047,2018-07-31,2018-08-10,,,0,-25500.00
18771,AM-LT000026,BENTE SILOG,Invoice,Rent Receivables,IC0002459,GL0003049,2018-08-31,2018-09-10,,,26750.00,0
18775,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,IC0002460,GL0003050,2018-08-31,2018-09-10,,,14609.43,0
18785,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001329,GL0003052,2018-08-31,2018-07-10,,,1439.90,0
18783,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001329,GL0003051,2018-08-31,2018-06-10,,,1398.20,0
18773,AM-LT000026,BENTE SILOG,Invoice,Creditable WHT Receivable,IC0002459,GL0003049,2018-08-31,2018-09-10,,,1250.00,0
18787,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001329,GL0003053,2018-08-31,2018-08-10,,,891.86,0
18788,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,B0001329,GL0003053,2018-08-31,2018-08-10,,,0,-891.86
18777,AM-LT000026,BENTE SILOG,Invoice,MI-Aircon Charges,IC0002460,GL0003050,2018-08-31,2018-09-10,,,0,-1000.00
18781,AM-LT000026,BENTE SILOG,Invoice,MI-Water,IC0002460,GL0003050,2018-08-31,2018-09-10,,,0,-1119.77
18784,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,B0001329,GL0003051,2018-08-31,2018-06-10,,,0,-1398.20
18786,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,B0001329,GL0003052,2018-08-31,2018-07-10,,,0,-1439.90
18776,AM-LT000026,BENTE SILOG,Invoice,MI-Common Utilities,IC0002460,GL0003050,2018-08-31,2018-09-10,,,0,-2000.00
18772,AM-LT000026,BENTE SILOG,Invoice,VAT Output,IC0002459,GL0003049,2018-08-31,2018-09-10,,,0,-3000.00
18780,AM-LT000026,BENTE SILOG,Invoice,MI-Light and Power,IC0002460,GL0003050,2018-08-31,2018-09-10,,,0,-3860.00
18778,AM-LT000026,BENTE SILOG,Invoice,MI-Charges,IC0002460,GL0003050,2018-08-31,2018-09-10,,,0,-6629.66
18774,AM-LT000026,BENTE SILOG,Invoice,Rent Income,IC0002459,GL0003049,2018-08-31,2018-09-10,,,0,-25000.00
20888,AM-LT000026,BENTE SILOG,Payment,Cash in Bank (Peso),PR0005524,GL0003038,2018-09-10,,B-008,PNB - Main,27552.50,0
20890,AM-LT000026,BENTE SILOG,Payment,Cash in Bank (Peso),PR0005524,GL0003039,2018-09-10,,B-008,PNB - Main,16722.37,0
20884,AM-LT000026,BENTE SILOG,Payment,Cash in Bank (Peso),PR0005524,GL0003052,2018-09-10,,B-008,PNB - Main,1439.90,0
20882,AM-LT000026,BENTE SILOG,Payment,Cash in Bank (Peso),PR0005524,GL0003051,2018-09-10,,B-008,PNB - Main,1398.20,0
20886,AM-LT000026,BENTE SILOG,Payment,Cash in Bank (Peso),PR0005524,GL0003053,2018-09-10,,B-008,PNB - Main,891.86,0
20887,AM-LT000026,BENTE SILOG,Payment,A/R  Non Trade External,PR0005524,GL0003053,2018-09-10,,B-008,PNB - Main,0,-891.86
20883,AM-LT000026,BENTE SILOG,Payment,A/R  Non Trade External,PR0005524,GL0003051,2018-09-10,,B-008,PNB - Main,0,-1398.20
20885,AM-LT000026,BENTE SILOG,Payment,A/R  Non Trade External,PR0005524,GL0003052,2018-09-10,,B-008,PNB - Main,0,-1439.90
20891,AM-LT000026,BENTE SILOG,Payment,A/R  Non Trade External,PR0005524,GL0003039,2018-09-10,,B-008,PNB - Main,0,-16722.37
20889,AM-LT000026,BENTE SILOG,Payment,Rent Receivables,PR0005524,GL0003038,2018-09-10,,B-008,PNB - Main,0,-27552.50
23849,AM-LT000026,BENTE SILOG,Invoice,Rent Receivables,IC0003114,GL0003892,2018-09-30,2018-10-10,,,26750.00,0
23853,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,IC0003115,GL0003893,2018-09-30,2018-10-10,,,19668.87,0
23864,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001693,GL0003895,2018-09-30,2018-07-10,,,1439.90,0
23866,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001693,GL0003896,2018-09-30,2018-08-10,,,1337.79,0
23851,AM-LT000026,BENTE SILOG,Invoice,Creditable WHT Receivable,IC0003114,GL0003892,2018-09-30,2018-10-10,,,1250.00,0
23868,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001693,GL0003897,2018-09-30,2018-09-10,,,827.19,0
23862,AM-LT000026,BENTE SILOG,Invoice,A/R  Non Trade External,B0001693,GL0003894,2018-09-30,2018-06-10,,,69.95,0
23863,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,B0001693,GL0003894,2018-09-30,2018-06-10,,,0,-69.95
23869,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,B0001693,GL0003897,2018-09-30,2018-09-10,,,0,-827.19
23859,AM-LT000026,BENTE SILOG,Invoice,MI-Water,IC0003115,GL0003893,2018-09-30,2018-10-10,,,0,-884.00
23855,AM-LT000026,BENTE SILOG,Invoice,MI-Aircon Charges,IC0003115,GL0003893,2018-09-30,2018-10-10,,,0,-1000.00
23867,AM-LT000026,BENTE SILOG,Invoice,MI-Penalties,B0001693,GL0003896,2018-09-30,2018-08-10,,,0,-1337.79
