ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
55807,AM-LT000119,MERRY MANGO,Payment,Cash in Bank (Peso),UFT0000902,GL0009374,2019-02-12,,B-008,PNB - Main,45000.00,0
55803,AM-LT000119,MERRY MANGO,Payment,Cash in Bank (Peso),UFT0000901,GL0009372,2019-02-12,,B-008,PNB - Main,16050.00,0
55804,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income-Preop Clearing,UFT0000901,GL0009372,2019-02-12,,B-008,PNB - Main,0,-16050.00
55808,AM-LT000119,MERRY MANGO,Payment,Security Deposit Payable-Preop Clearing,UFT0000902,GL0009374,2019-02-12,,B-008,PNB - Main,0,-45000.00
60855,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income,B0004078,GL0009372,2019-03-31,,,,9324.18,0
55794,AM-LT000119,MERRY MANGO,Invoice,Rent Receivables,IC0006865,GL0009370,2019-03-31,2019-04-10,,,7766.13,0
55798,AM-LT000119,MERRY MANGO,Invoice,A/R  Non Trade External,IC0006866,GL0009371,2019-03-31,2019-04-10,,,1558.05,0
55796,AM-LT000119,MERRY MANGO,Invoice,Creditable WHT Receivable,IC0006865,GL0009370,2019-03-31,2019-04-10,,,362.90,0
55802,AM-LT000119,MERRY MANGO,Invoice,MI-Charges,IC0006866,GL0009371,2019-03-31,2019-04-10,,,0,-290.25
55801,AM-LT000119,MERRY MANGO,Invoice,MI-Light and Power,IC0006866,GL0009371,2019-03-31,2019-04-10,,,0,-300.00
55800,AM-LT000119,MERRY MANGO,Invoice,MI-Common Utilities,IC0006866,GL0009371,2019-03-31,2019-04-10,,,0,-483.90
55799,AM-LT000119,MERRY MANGO,Invoice,MI-Aircon Charges,IC0006866,GL0009371,2019-03-31,2019-04-10,,,0,-483.90
55795,AM-LT000119,MERRY MANGO,Invoice,VAT Output,IC0006865,GL0009370,2019-03-31,2019-04-10,,,0,-870.97
60858,AM-LT000119,MERRY MANGO,Payment,A/R  Non Trade External,B0004078,GL0009371,2019-03-31,,,,0,-1558.05
55797,AM-LT000119,MERRY MANGO,Invoice,Rent Income,IC0006865,GL0009370,2019-03-31,2019-04-10,,,0,-7258.06
60856,AM-LT000119,MERRY MANGO,Payment,Rent Receivables,B0004078,GL0009370,2019-03-31,,,,0,-7766.13
59574,AM-LT000119,MERRY MANGO,Invoice,Rent Receivables,IC0007253,GL0009885,2019-04-30,2019-05-10,,,16050.00,0
59587,AM-LT000119,MERRY MANGO,Invoice,A/R  Non Trade External,IC0007256,GL0009888,2019-04-30,2019-05-10,,,9510.00,0
61404,AM-LT000119,MERRY MANGO,Payment,Unearned Rent Income,B0004132,GL0009372,2019-04-30,,,,6725.82,0
59605,AM-LT000119,MERRY MANGO,Invoice,A/R  Non Trade External,IC0007259,GL0009891,2019-04-30,2019-05-10,,,1000.00,0
59576,AM-LT000119,MERRY MANGO,Invoice,Creditable WHT Receivable,IC0007253,GL0009885,2019-04-30,2019-05-10,,,750.00,0
59591,AM-LT000119,MERRY MANGO,Invoice,MI-Charges,IC0007256,GL0009888,2019-04-30,2019-05-10,,,0,-800.00
59588,AM-LT000119,MERRY MANGO,Invoice,MI-Aircon Charges,IC0007256,GL0009888,2019-04-30,2019-05-10,,,0,-1000.00
59589,AM-LT000119,MERRY MANGO,Invoice,MI-Common Utilities,IC0007256,GL0009888,2019-04-30,2019-05-10,,,0,-1000.00
59606,AM-LT000119,MERRY MANGO,Invoice,MI-Charges,IC0007259,GL0009891,2019-04-30,2019-05-10,,,0,-1000.00
59575,AM-LT000119,MERRY MANGO,Invoice,VAT Output,IC0007253,GL0009885,2019-04-30,2019-05-10,,,0,-1800.00
59590,AM-LT000119,MERRY MANGO,Invoice,MI-Light and Power,IC0007256,GL0009888,2019-04-30,2019-05-10,,,0,-6710.00
