ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
60900,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),UFT0000971,GL0010181,2019-02-12,,B-008,PNB - Main,45000.00,0
47505,AM-LT000120,BAREFRUIT GUYABANO,Payment,Cash in Bank (Peso),PR0005804,GL0008013,2019-02-12,,B-008,PNB - Main,16050.00,0
47506,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,PR0005804,GL0008013,2019-02-12,,,,0,-16050.00
60901,AM-LT000120,BAREFRUIT GUYABANO,Payment,Security Deposit Payable-Preop Clearing,UFT0000971,GL0010181,2019-02-12,,B-008,PNB - Main,0,-45000.00
60896,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,B0004084,GL0008013,2019-03-31,,,,9394.18,0
55752,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Rent Receivables,IC0006859,GL0009361,2019-03-31,2019-04-10,,,7766.13,0
55762,AM-LT000120,BAREFRUIT GUYABANO,Invoice,A/R  Non Trade External,IC0006861,GL0009363,2019-03-31,2019-04-10,,,1628.05,0
55754,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Creditable WHT Receivable,IC0006859,GL0009361,2019-03-31,2019-04-10,,,362.90,0
55765,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Light and Power,IC0006861,GL0009363,2019-03-31,2019-04-10,,,0,-170.00
55764,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Common Utilities,IC0006861,GL0009363,2019-03-31,2019-04-10,,,0,-483.90
55763,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Aircon Charges,IC0006861,GL0009363,2019-03-31,2019-04-10,,,0,-483.90
55766,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Charges,IC0006861,GL0009363,2019-03-31,2019-04-10,,,0,-490.25
55753,AM-LT000120,BAREFRUIT GUYABANO,Invoice,VAT Output,IC0006859,GL0009361,2019-03-31,2019-04-10,,,0,-870.97
60899,AM-LT000120,BAREFRUIT GUYABANO,Payment,A/R  Non Trade External,B0004084,GL0009363,2019-03-31,,,,0,-1628.05
55755,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Rent Income,IC0006859,GL0009361,2019-03-31,2019-04-10,,,0,-7258.06
60897,AM-LT000120,BAREFRUIT GUYABANO,Payment,Rent Receivables,B0004084,GL0009361,2019-03-31,,,,0,-7766.13
59781,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Rent Receivables,IC0007293,GL0009940,2019-04-30,2019-05-10,,,16050.00,0
60904,AM-LT000120,BAREFRUIT GUYABANO,Payment,Unearned Rent Income,B0004086,GL0008013,2019-04-30,,,,6655.82,0
59785,AM-LT000120,BAREFRUIT GUYABANO,Invoice,A/R  Non Trade External,IC0007294,GL0009941,2019-04-30,2019-05-10,,,5590.00,0
59783,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Creditable WHT Receivable,IC0007293,GL0009940,2019-04-30,2019-05-10,,,750.00,0
59791,AM-LT000120,BAREFRUIT GUYABANO,Invoice,A/R  Non Trade External,IC0007295,GL0009942,2019-04-30,2019-05-10,,,300.00,0
59792,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Charges,IC0007295,GL0009942,2019-04-30,2019-05-10,,,0,-300.00
59787,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Common Utilities,IC0007294,GL0009941,2019-04-30,2019-05-10,,,0,-1000.00
59786,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Aircon Charges,IC0007294,GL0009941,2019-04-30,2019-05-10,,,0,-1000.00
59789,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Charges,IC0007294,GL0009941,2019-04-30,2019-05-10,,,0,-1600.00
59782,AM-LT000120,BAREFRUIT GUYABANO,Invoice,VAT Output,IC0007293,GL0009940,2019-04-30,2019-05-10,,,0,-1800.00
59788,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Light and Power,IC0007294,GL0009941,2019-04-30,2019-05-10,,,0,-1990.00
60905,AM-LT000120,BAREFRUIT GUYABANO,Payment,Rent Receivables,B0004086,GL0009940,2019-04-30,,,,0,-6655.82
59784,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Rent Income,IC0007293,GL0009940,2019-04-30,2019-05-10,,,0,-15000.00
65075,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Rent Receivables,IC0007962,GL0010782,2019-05-31,2019-06-10,,,16050.00,0
65079,AM-LT000120,BAREFRUIT GUYABANO,Invoice,A/R  Non Trade External,IC0007963,GL0010783,2019-05-31,2019-06-10,,,4710.00,0
65077,AM-LT000120,BAREFRUIT GUYABANO,Invoice,Creditable WHT Receivable,IC0007962,GL0010782,2019-05-31,2019-06-10,,,750.00,0
65738,AM-LT000120,BAREFRUIT GUYABANO,Invoice,A/R  Non Trade External,B0004402,GL0010940,2019-05-31,2019-05-10,,,305.68,0
65739,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Penalties,B0004402,GL0010940,2019-05-31,2019-05-10,,,0,-305.68
65083,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Charges,IC0007963,GL0010783,2019-05-31,2019-06-10,,,0,-600.00
65081,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Common Utilities,IC0007963,GL0010783,2019-05-31,2019-06-10,,,0,-1000.00
65080,AM-LT000120,BAREFRUIT GUYABANO,Invoice,MI-Aircon Charges,IC0007963,GL0010783,2019-05-31,2019-06-10,,,0,-1000.00
