ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
113892,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),AR#000404,GL0018334,2016-09-23,,B-008,PNB,24000.00,0
113893,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Security Deposit Payable,AR#000404,GL0018334,2016-09-23,,B-008,PNB,0,-24000.00
60608,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Receivables,IC0007459,GL0010123,2019-04-30,2019-05-10,,,12840.00,0
60612,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,A/R  Non Trade External,IC0007460,GL0010124,2019-04-30,2019-05-10,,,3000.00,0
60610,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Creditable WHT Receivable,IC0007459,GL0010123,2019-04-30,2019-05-10,,,600.00,0
60613,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Aircon Charges,IC0007460,GL0010124,2019-04-30,2019-05-10,,,0,-500.00
60616,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Charges,IC0007460,GL0010124,2019-04-30,2019-05-10,,,0,-500.00
60615,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Light and Power,IC0007460,GL0010124,2019-04-30,2019-05-10,,,0,-1000.00
60614,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Common Utilities,IC0007460,GL0010124,2019-04-30,2019-05-10,,,0,-1000.00
60609,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,VAT Output,IC0007459,GL0010123,2019-04-30,2019-05-10,,,0,-1440.00
60611,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Income,IC0007459,GL0010123,2019-04-30,2019-05-10,,,0,-12000.00
63183,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),PR0006333,GL0010123,2019-05-12,,B-015,PNB,12840.00,0
63185,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),PR0006333,GL0010124,2019-05-12,,B-015,PNB,3000.00,0
63186,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,A/R  Non Trade External,PR0006333,GL0010124,2019-05-12,,B-015,PNB,0,-3000.00
63184,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Rent Receivables,PR0006333,GL0010123,2019-05-12,,B-015,PNB,0,-12840.00
65193,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Receivables,IC0007980,GL0010817,2019-05-31,2019-06-10,,,12840.00,0
65197,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,A/R  Non Trade External,IC0007981,GL0010818,2019-05-31,2019-06-10,,,3890.00,0
65195,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Creditable WHT Receivable,IC0007980,GL0010817,2019-05-31,2019-06-10,,,600.00,0
65201,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Charges,IC0007981,GL0010818,2019-05-31,2019-06-10,,,0,-500.00
65198,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Aircon Charges,IC0007981,GL0010818,2019-05-31,2019-06-10,,,0,-500.00
65199,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Common Utilities,IC0007981,GL0010818,2019-05-31,2019-06-10,,,0,-1000.00
65194,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,VAT Output,IC0007980,GL0010817,2019-05-31,2019-06-10,,,0,-1440.00
65200,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Light and Power,IC0007981,GL0010818,2019-05-31,2019-06-10,,,0,-1890.00
65196,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Income,IC0007980,GL0010817,2019-05-31,2019-06-10,,,0,-12000.00
68643,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),PR0006444,GL0010817,2019-06-10,,B-015,PNB,12840.00,0
68645,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),PR0006444,GL0010818,2019-06-10,,B-015,PNB,3890.00,0
68646,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,A/R  Non Trade External,PR0006444,GL0010818,2019-06-10,,B-015,PNB,0,-3890.00
68644,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Rent Receivables,PR0006444,GL0010817,2019-06-10,,B-015,PNB,0,-12840.00
70036,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Receivables,IC0008516,GL0011535,2019-06-30,2019-07-10,,,12840.00,0
71196,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,A/R  Non Trade External,IC0008704,GL0011741,2019-06-30,2019-07-10,,,3720.00,0
70038,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Creditable WHT Receivable,IC0008516,GL0011535,2019-06-30,2019-07-10,,,600.00,0
71197,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Aircon Charges,IC0008704,GL0011741,2019-06-30,2019-07-10,,,0,-500.00
71200,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Charges,IC0008704,GL0011741,2019-06-30,2019-07-10,,,0,-500.00
71198,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Common Utilities,IC0008704,GL0011741,2019-06-30,2019-07-10,,,0,-1000.00
70037,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,VAT Output,IC0008516,GL0011535,2019-06-30,2019-07-10,,,0,-1440.00
71199,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Light and Power,IC0008704,GL0011741,2019-06-30,2019-07-10,,,0,-1720.00
70039,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Income,IC0008516,GL0011535,2019-06-30,2019-07-10,,,0,-12000.00
74517,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),PR0006524,GL0011535,2019-07-11,,B-015,PNB,12840.00,0
74519,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Cash in Bank (Peso),PR0006524,GL0011741,2019-07-11,,B-015,PNB,3720.00,0
74520,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,A/R  Non Trade External,PR0006524,GL0011741,2019-07-11,,B-015,PNB,0,-3720.00
74518,AM-LT000137,REBECCA EXPRESS LUGAWAN,Payment,Rent Receivables,PR0006524,GL0011535,2019-07-11,,B-015,PNB,0,-12840.00
76380,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Rent Receivables,IC0009290,GL0012462,2019-07-31,2019-08-10,,,12840.00,0
76384,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,A/R  Non Trade External,IC0009291,GL0012463,2019-07-31,2019-08-10,,,3850.00,0
76382,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,Creditable WHT Receivable,IC0009290,GL0012462,2019-07-31,2019-08-10,,,600.00,0
76388,AM-LT000137,REBECCA EXPRESS LUGAWAN,Invoice,MI-Charges,IC0009291,GL0012463,2019-07-31,2019-08-10,,,0,-500.00
