ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
3035,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0000425,GL0000482,2019-03-31,2019-04-08,,,17672.26,0
3072,ASCT-LT000002,IDEAL VISION CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000426,GL0000488,2019-03-31,2019-04-08,,,17285.53,0
3080,ASCT-LT000002,IDEAL VISION CENTER,Payment,A/R  Non Trade External,ASCT-B0000240,GL0000488,2019-03-31,,,,0,-16567.74
3078,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,ASCT-B0000240,GL0000482,2019-03-31,,,,0,-17672.26
3452,ASCT-LT000002,IDEAL VISION CENTER,Payment,A/R  Non Trade External,PR030149,GL0000488,2019-04-04,,B-001,Land Bank of the Philippines,0,-717.79
3440,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0000471,GL0000539,2019-04-30,2019-05-08,,,34240.00,0
3444,ASCT-LT000002,IDEAL VISION CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000472,GL0000540,2019-04-30,2019-05-08,,,21142.10,0
3747,ASCT-LT000002,IDEAL VISION CENTER,Payment,A/R  Non Trade External,PR568+,GL0000540,2019-05-08,,B-001,Land Bank of the Philippines,0,-21142.10
3745,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,PR568+,GL0000539,2019-05-08,,B-001,Land Bank of the Philippines,0,-34240.00
3997,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0000532,GL0000614,2019-05-31,2019-06-08,,,34240.00,0
4001,ASCT-LT000002,IDEAL VISION CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000533,GL0000615,2019-05-31,2019-06-08,,,21843.60,0
4185,ASCT-LT000002,IDEAL VISION CENTER,Payment,A/R  Non Trade External,PR030190,GL0000615,2019-06-06,,B-001,Land Bank of the Philippines,0,-21843.60
4183,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,PR030190,GL0000614,2019-06-06,,B-001,Land Bank of the Philippines,0,-34240.00
4473,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0000604,GL0000692,2019-06-30,2019-07-08,,,34240.00,0
4477,ASCT-LT000002,IDEAL VISION CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000605,GL0000693,2019-06-30,2019-07-08,,,21774.60,0
4567,ASCT-LT000002,IDEAL VISION CENTER,Payment,A/R  Non Trade External,PR030256,GL0000693,2019-07-04,,B-001,Land Bank of the Philippines,0,-21774.60
4565,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,PR030256,GL0000692,2019-07-04,,B-001,Land Bank of the Philippines,0,-34240.00
4825,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0000656,GL0000751,2019-07-31,2019-08-08,,,34240.00,0
4829,ASCT-LT000002,IDEAL VISION CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000657,GL0000752,2019-07-31,2019-08-08,,,20935.10,0
4953,ASCT-LT000002,IDEAL VISION CENTER,Payment,A/R  Non Trade External,PR030266,GL0000752,2019-08-05,,B-001,Land Bank of the Philippines,0,-20935.10
4951,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,PR030266,GL0000751,2019-08-05,,B-001,Land Bank of the Philippines,0,-34240.00
