ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
29,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000008,GL0000011,2018-06-30,2018-07-08,,,4636.66,0
33,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000009,GL0000012,2018-06-30,2018-07-08,,,1648.33,0
154,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR025302,GL0000012,2018-07-09,,B-001,Land Bank of the Philippines,0,-1648.33
152,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR025302,GL0000011,2018-07-09,,B-001,Land Bank of the Philippines,0,-4636.66
204,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000028,GL0000035,2018-07-31,2018-08-08,,,10700.00,0
208,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000029,GL0000036,2018-07-31,2018-08-08,,,3707.83,0
215,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,ASCT-B0000028,GL0000035,2018-07-31,,,,0,-10700.00
389,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030005,GL0000036,2018-08-13,,B-001,Land Bank of the Philippines,0,-3707.83
415,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000060,GL0000071,2018-08-31,2018-09-08,,,10700.00,0
419,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000061,GL0000072,2018-08-31,2018-09-08,,,2411.55,0
413,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000059,GL0000070,2018-08-31,2018-09-08,,,7.18,0
685,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030011,GL0000070,2018-09-12,,B-001,Land Bank of the Philippines,0,-7.18
689,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030011,GL0000072,2018-09-12,,B-001,Land Bank of the Philippines,0,-2411.55
687,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030011,GL0000071,2018-09-12,,B-001,Land Bank of the Philippines,0,-10700.00
718,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000096,GL0000108,2018-09-30,2018-10-08,,,10700.00,0
722,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000097,GL0000109,2018-09-30,2018-10-08,,,2519.65,0
716,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000095,GL0000107,2018-09-30,2018-10-08,,,17.49,0
903,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030020,GL0000107,2018-10-11,,B-001,Land Bank of the Philippines,0,-17.49
907,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030020,GL0000109,2018-10-11,,B-001,Land Bank of the Philippines,0,-2519.65
905,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030020,GL0000108,2018-10-11,,B-001,Land Bank of the Philippines,0,-10700.00
910,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000126,GL0000142,2018-10-31,2018-11-08,,,10700.00,0
914,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000127,GL0000143,2018-10-31,2018-11-08,,,2324.15,0
908,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000125,GL0000141,2018-10-31,2018-11-08,,,17.08,0
1241,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030028,GL0000141,2018-11-15,,B-001,Land Bank of the Philippines,0,-17.08
1245,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030028,GL0000143,2018-11-15,,B-001,Land Bank of the Philippines,0,-2324.15
1243,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030028,GL0000142,2018-11-15,,B-001,Land Bank of the Philippines,0,-10700.00
1292,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000187,GL0000214,2018-11-30,2018-12-08,,,10700.00,0
1296,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000188,GL0000215,2018-11-30,2018-12-08,,,2367.85,0
1290,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000186,GL0000213,2018-11-30,2018-12-08,,,43.47,0
1602,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030035,GL0000213,2018-12-08,,B-001,Land Bank of the Philippines,0,-43.47
1606,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030035,GL0000215,2018-12-08,,B-001,Land Bank of the Philippines,0,-2367.85
1604,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030035,GL0000214,2018-12-08,,B-001,Land Bank of the Philippines,0,-10700.00
1661,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000231,GL0000270,2018-12-31,2019-01-08,,,10700.00,0
1665,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000232,GL0000271,2018-12-31,2019-01-08,,,2102.20,0
1985,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PRCHECK1550843,GL0000271,2019-01-08,,B-001,Land Bank of the Philippines,0,-2102.20
1983,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PRCHECK1550843,GL0000270,2019-01-08,,B-001,Land Bank of the Philippines,0,-10700.00
1986,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000274,GL0000316,2019-01-31,2019-02-08,,,10700.00,0
1990,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000275,GL0000317,2019-01-31,2019-02-08,,,2234.45,0
2378,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030154,GL0000317,2019-02-11,,B-001,Land Bank of the Philippines,0,-2234.45
2376,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030154,GL0000316,2019-02-11,,B-001,Land Bank of the Philippines,0,-10700.00
2389,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000329,GL0000386,2019-02-28,2019-03-08,,,10700.00,0
2393,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000330,GL0000387,2019-02-28,2019-03-08,,,2324.15,0
2387,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000328,GL0000385,2019-02-28,2019-03-08,,,9.24,0
3236,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PROR#030201/CHECK#1550876,GL0000385,2019-03-06,,B-001,Land Bank of the Philippines,0,-9.24
3238,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PROR#030201/CHECK#1550876,GL0000435,2019-03-06,,B-001,Land Bank of the Philippines,0,-260.67
3242,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PROR#030201/CHECK#1550876,GL0000387,2019-03-06,,B-001,Land Bank of the Philippines,0,-2063.48
3240,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PROR#030201/CHECK#1550876,GL0000386,2019-03-06,,B-001,Land Bank of the Philippines,0,-10700.00
2719,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000372,GL0000431,2019-03-31,2019-04-08,,,10700.00,0
2723,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000373,GL0000432,2019-03-31,2019-04-08,,,2555.15,0
2737,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-B0000213,GL0000435,2019-03-31,2019-03-08,,,260.67,0
3253,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030209/CHCK#1550895,GL0000387,2019-04-08,,B-001,Land Bank of the Philippines,0,-260.67
3257,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030209/CHCK#1550895,GL0000432,2019-04-08,,B-001,Land Bank of the Philippines,0,-2294.48
3255,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030209/CHCK#1550895,GL0000431,2019-04-08,,B-001,Land Bank of the Philippines,0,-10700.00
3258,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000433,GL0000498,2019-04-30,2019-05-08,,,10700.00,0
3262,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-IC0000434,GL0000499,2019-04-30,2019-05-08,,,2351.75,0
3267,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,A/R  Non Trade External,ASCT-B0000248,GL0000500,2019-04-30,2019-04-08,,,5.21,0
3729,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030178,GL0000500,2019-05-08,,B-001,Land Bank of the Philippines,0,-5.21
3731,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030178,GL0000432,2019-05-08,,B-001,Land Bank of the Philippines,0,-260.67
3735,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,A/R  Non Trade External,PR030178,GL0000499,2019-05-08,,B-001,Land Bank of the Philippines,0,-2351.75
3733,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PR030178,GL0000498,2019-05-08,,B-001,Land Bank of the Philippines,0,-10700.00
4053,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Invoice,Rent Receivables,ASCT-IC0000542,GL0000625,2019-05-31,2019-06-08,,,11148.70,0
