ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
101,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000023,GL0000026,2018-06-30,2018-07-08,,,5845.83,0
97,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000022,GL0000025,2018-06-30,2018-07-08,,,5564.00,0
131,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,ASCT-B0000021,GL0000025,2018-06-30,,,,0,-5564.00
133,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,ASCT-B0000021,GL0000026,2018-06-30,,,,0,-5845.83
276,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000039,GL0000046,2018-07-31,2018-08-08,,,12840.00,0
280,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000040,GL0000047,2018-07-31,2018-08-08,,,3300.50,0
324,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,ASCT-B0000034,GL0000046,2018-07-31,,,,0,-1430.50
652,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000003,GL0000047,2018-08-09,,B-001,Land Bank of the Philippines,0,-3300.50
650,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000003,GL0000046,2018-08-09,,B-001,Land Bank of the Philippines,0,-11409.50
657,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000092,GL0000105,2018-08-31,2018-09-08,,,12840.00,0
661,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000093,GL0000106,2018-08-31,2018-09-08,,,3105.00,0
693,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PR030012,GL0000106,2018-09-13,,B-001,Land Bank of the Philippines,0,-3105.00
691,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,PR030012,GL0000105,2018-09-13,,B-001,Land Bank of the Philippines,0,-12840.00
802,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000115,GL0000129,2018-09-30,2018-10-08,,,12840.00,0
806,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000116,GL0000130,2018-09-30,2018-10-08,,,2944.00,0
800,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000114,GL0000128,2018-09-30,2018-10-08,,,31.89,0
1004,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,Rent Receivables,ASCT-IC0000143,GL0000162,2018-10-31,2018-11-08,,,12840.00,0
1008,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-IC0000144,GL0000163,2018-10-31,2018-11-08,,,2886.50,0
1013,ASCT-LT000006,ZAGU PEARL SHAKE,Invoice,A/R  Non Trade External,ASCT-B0000094,GL0000164,2018-10-31,2018-10-08,,,316.32,0
1161,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PR030087,GL0000128,2018-11-06,,B-001,Land Bank of the Philippines,0,-31.89
1163,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,A/R  Non Trade External,PR030087,GL0000164,2018-11-06,,B-001,Land Bank of the Philippines,0,-316.32
