ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
577,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000086,GL0000098,2018-07-31,2018-08-08,,,19260.00,0
581,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000087,GL0000099,2018-07-31,2018-08-08,,,1150.00,0
592,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000062,GL0000099,2018-07-31,,,,0,-1150.00
590,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000062,GL0000098,2018-07-31,,,,0,-19260.00
462,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000071,GL0000082,2018-08-31,2018-09-08,,,19260.00,0
466,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000072,GL0000083,2018-08-31,2018-09-08,,,1150.00,0
608,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000063,GL0000083,2018-08-31,,,,0,-1150.00
606,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000063,GL0000082,2018-08-31,,,,0,-19260.00
727,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000098,GL0000110,2018-09-30,2018-10-08,,,19260.00,0
731,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000099,GL0000111,2018-09-30,2018-10-08,,,1150.00,0
738,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000073,GL0000111,2018-09-30,,,,0,-1150.00
736,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000073,GL0000110,2018-09-30,,,,0,-19260.00
931,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000130,GL0000148,2018-10-31,2018-11-08,,,19260.00,0
935,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000131,GL0000149,2018-10-31,2018-11-08,,,1150.00,0
946,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000088,GL0000149,2018-10-31,,,,0,-1150.00
944,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000088,GL0000148,2018-10-31,,,,0,-19260.00
1313,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000191,GL0000220,2018-11-30,2018-12-08,,,19260.00,0
1881,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000266,GL0000309,2018-11-30,2018-12-08,,,1750.00,0
1890,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000154,GL0000309,2018-11-30,,,,0,-1750.00
1888,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000154,GL0000220,2018-11-30,,,,0,-19260.00
1670,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000233,GL0000272,2018-12-31,2019-01-08,,,19260.00,0
1674,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000234,GL0000273,2018-12-31,2019-01-08,,,1150.00,0
1896,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000155,GL0000273,2018-12-31,,,,0,-550.00
1894,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000155,GL0000272,2018-12-31,,,,0,-19260.00
1965,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,PR030044,GL0000273,2019-01-17,,B-001,Land Bank of the Philippines,0,-600.00
2005,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000279,GL0000321,2019-01-31,2019-02-08,,,19260.00,0
2009,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000280,GL0000322,2019-01-31,2019-02-08,,,1150.00,0
2003,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000278,GL0000320,2019-01-31,2019-02-08,,,2.71,0
2207,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,PR030045,GL0000320,2019-02-01,,B-001,Land Bank of the Philippines,0,-2.71
2211,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,PR030045,GL0000322,2019-02-01,,B-001,Land Bank of the Philippines,0,-1147.29
2209,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,PR030045,GL0000321,2019-02-01,,B-001,Land Bank of the Philippines,0,-19260.00
2408,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000334,GL0000391,2019-02-28,2019-03-08,,,19260.00,0
2412,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000335,GL0000392,2019-02-28,2019-03-08,,,1150.00,0
2625,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000206,GL0000322,2019-02-28,,,,0,-2.71
2629,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000206,GL0000392,2019-02-28,,,,0,-1150.00
2627,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000206,GL0000391,2019-02-28,,,,0,-19260.00
3095,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000429,GL0000491,2019-03-31,2019-04-08,,,19260.00,0
3099,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000430,GL0000492,2019-03-31,2019-04-08,,,1150.00,0
3112,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000242,GL0000492,2019-03-31,,,,0,-1150.00
3110,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000242,GL0000491,2019-03-31,,,,0,-19260.00
3280,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000438,GL0000504,2019-04-30,2019-05-08,,,19260.00,0
3284,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000439,GL0000505,2019-04-30,2019-05-08,,,1150.00,0
3291,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000250,GL0000505,2019-04-30,,,,0,-1150.00
3289,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000250,GL0000504,2019-04-30,,,,0,-19260.00
3833,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000503,GL0000581,2019-05-31,2019-06-08,,,19260.00,0
3837,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000504,GL0000582,2019-05-31,2019-06-08,,,1150.00,0
3844,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000287,GL0000582,2019-05-31,,,,0,-1147.29
3842,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000287,GL0000581,2019-05-31,,,,0,-19260.00
4207,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,PR030195,GL0000582,2019-06-10,,B-001,Land Bank of the Philippines,0,-2.71
4276,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000568,GL0000656,2019-06-30,2019-07-08,,,19260.00,0
4280,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000569,GL0000657,2019-06-30,2019-07-08,,,1150.00,0
4289,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000331,GL0000657,2019-06-30,,,,0,-1147.29
4285,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000331,GL0000656,2019-06-30,,,,0,-19260.00
4545,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,PR030199,GL0000657,2019-07-01,,B-001,Land Bank of the Philippines,0,-2.71
4666,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000623,GL0000718,2019-07-31,2019-08-08,,,21186.00,0
4670,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000624,GL0000719,2019-07-31,2019-08-08,,,1150.00,0
4675,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000360,GL0000718,2019-07-31,,,,0,-20410.00
4955,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,PR030267,GL0000718,2019-08-05,,B-001,Land Bank of the Philippines,0,-776.00
4957,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,PR030267,GL0000719,2019-08-05,,B-001,Land Bank of the Philippines,0,-1150.00
5034,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0000681,GL0000782,2019-08-31,2019-09-08,,,21186.00,0
5038,ASCT-LT000007,JEWELRICH,Invoice,A/R  Non Trade External,ASCT-IC0000682,GL0000783,2019-08-31,2019-09-08,,,1150.00,0
5047,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000391,GL0000783,2019-08-31,,,,0,-1150.00
5043,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000391,GL0000782,2019-08-31,,,,0,-21186.00
5778,ASCT-LT000007,JEWELRICH,Payment,A/R  Non Trade External,ASCT-B0000433,GL0000875,2019-09-27,,,,0,-1150.00
5774,ASCT-LT000007,JEWELRICH,Payment,Rent Receivables,ASCT-B0000433,GL0000874,2019-09-27,,,,0,-21186.00
