ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
37,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000010,GL0000013,2018-06-30,2018-07-08,,,4636.66,0
41,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000011,GL0000014,2018-06-30,2018-07-08,,,2430.33,0
148,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR025301,GL0000014,2018-07-05,,B-001,Land Bank of the Philippines,0,-2430.33
146,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR025301,GL0000013,2018-07-05,,B-001,Land Bank of the Philippines,0,-4636.66
355,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030001,GL0000038,2018-07-30,,B-001,Land Bank of the Philippines,0,-1892.90
226,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000030,GL0000037,2018-07-31,2018-08-08,,,10700.00,0
230,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000031,GL0000038,2018-07-31,2018-08-08,,,1892.90,0
236,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,ASCT-B0000029,GL0000037,2018-07-31,,,,0,-10700.00
424,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000062,GL0000073,2018-08-31,2018-09-08,,,10700.00,0
428,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000063,GL0000074,2018-08-31,2018-09-08,,,1913.60,0
673,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030008,GL0000074,2018-09-03,,B-001,Land Bank of the Philippines,0,-1913.60
671,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030008,GL0000073,2018-09-03,,B-001,Land Bank of the Philippines,0,-10700.00
753,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000103,GL0000117,2018-09-30,2018-10-08,,,10700.00,0
757,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000104,GL0000118,2018-09-30,2018-10-08,,,1934.30,0
861,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030014,GL0000118,2018-10-01,,B-001,Land Bank of the Philippines,0,-1934.30
859,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030014,GL0000117,2018-10-01,,B-001,Land Bank of the Philippines,0,-10700.00
939,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000132,GL0000150,2018-10-31,2018-11-08,,,10700.00,0
947,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000133,GL0000151,2018-10-31,2018-11-08,,,1860.70,0
1137,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030024,GL0000151,2018-11-05,,B-001,Land Bank of the Philippines,0,-1860.70
1135,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030024,GL0000150,2018-11-05,,B-001,Land Bank of the Philippines,0,-10700.00
1325,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0000193,GL0000222,2018-11-30,2018-12-08,,,10700.00,0
1329,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000194,GL0000223,2018-11-30,2018-12-08,,,1858.40,0
1280,ASCT-LT000008,TECHNOCARE,Invoice,A/R  Non Trade External,ASCT-IC0000181,GL0000208,2018-11-30,2018-12-08,,,200.00,0
1592,ASCT-LT000008,TECHNOCARE,Payment,A/R  Non Trade External,PR030033,GL0000208,2018-12-08,,B-001,Land Bank of the Philippines,0,-200.00
