ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
76,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000018,GL0000021,2018-06-30,2018-07-08,,,4636.66,0
155,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000025,GL0000030,2018-06-30,2018-07-08,,,1615.36,0
169,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External,PR025303,GL0000030,2018-07-10,,B-001,Land Bank of the Philippines,0,-1615.36
161,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,PR025303,GL0000021,2018-07-10,,B-001,Land Bank of the Philippines,0,-4636.66
287,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000042,GL0000049,2018-07-31,2018-08-08,,,10700.00,0
339,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000048,GL0000055,2018-07-31,2018-08-08,,,1127.00,0
345,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,ASCT-B0000037,GL0000049,2018-07-31,,,,0,-10700.00
357,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External,PR030002,GL0000055,2018-08-09,,B-001,Land Bank of the Philippines,0,-1127.00
543,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000084,GL0000096,2018-08-31,2018-09-08,,,10700.00,0
616,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000088,GL0000100,2018-08-31,2018-09-08,,,1989.15,0
697,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000004,GL0000100,2018-09-10,,B-001,Land Bank of the Philippines,0,-1989.15
695,ASCT-LT000009,Save N Earn,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000004,GL0000096,2018-09-10,,B-001,Land Bank of the Philippines,0,-10700.00
780,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000109,GL0000123,2018-09-30,2018-10-08,,,10700.00,0
981,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000139,GL0000157,2018-09-30,2018-10-08,,,1431.29,0
1155,ASCT-LT000009,Save N Earn,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000011,GL0000156,2018-10-02,,B-001,Land Bank of the Philippines,0,-1431.29
1153,ASCT-LT000009,Save N Earn,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000011,GL0000123,2018-10-02,,B-001,Land Bank of the Philippines,0,-10700.00
970,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000138,GL0000156,2018-10-31,2018-11-08,,,10700.00,0
987,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000140,GL0000158,2018-10-31,2018-11-08,,,1397.48,0
1183,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External,PR030090,GL0000158,2018-11-08,,B-001,Land Bank of the Philippines,0,-1397.48
1181,ASCT-LT000009,Save N Earn,Payment,A/R  Non Trade External,PR030090,GL0000157,2018-11-08,,B-001,Land Bank of the Philippines,0,-1431.29
1179,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,PR030090,GL0000156,2018-11-08,,B-001,Land Bank of the Philippines,0,-9268.71
1352,ASCT-LT000009,Save N Earn,Invoice,Rent Receivables,ASCT-IC0000199,GL0000228,2018-11-30,2018-12-08,,,10700.00,0
1538,ASCT-LT000009,Save N Earn,Invoice,A/R  Non Trade External,ASCT-IC0000228,GL0000264,2018-11-30,2018-12-08,,,1408.75,0
