ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
346,ASCT-LT000010,VIRGINIA FOODS,Invoice,Rent Receivables,ASCT-IC0000049,GL0000056,2018-07-31,2018-08-08,,,10700.00,0
350,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000050,GL0000057,2018-07-31,2018-08-08,,,1150.00,0
482,ASCT-LT000010,VIRGINIA FOODS,Invoice,Rent Receivables,ASCT-IC0000073,GL0000084,2018-08-31,2018-09-08,,,10700.00,0
486,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000074,GL0000085,2018-08-31,2018-09-08,,,1150.00,0
490,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-B0000052,GL0000086,2018-08-31,2018-08-08,,,237.00,0
711,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External,PR030013,GL0000086,2018-09-21,,B-001,Land Bank of the Philippines,0,-237.00
715,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External,PR030013,GL0000057,2018-09-21,,B-001,Land Bank of the Philippines,0,-913.00
713,ASCT-LT000010,VIRGINIA FOODS,Payment,Rent Receivables,PR030013,GL0000056,2018-09-21,,B-001,Land Bank of the Philippines,0,-10700.00
741,ASCT-LT000010,VIRGINIA FOODS,Invoice,Rent Receivables,ASCT-IC0000101,GL0000113,2018-09-30,2018-10-08,,,10700.00,0
745,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000102,GL0000114,2018-09-30,2018-10-08,,,1150.00,0
751,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-B0000074,GL0000116,2018-09-30,2018-09-08,,,237.00,0
739,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-IC0000100,GL0000112,2018-09-30,2018-10-08,,,79.00,0
749,ASCT-LT000010,VIRGINIA FOODS,Invoice,A/R  Non Trade External,ASCT-B0000074,GL0000115,2018-09-30,2018-08-08,,,7.11,0
873,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-PDC,PR030017,GL0000115,2018-10-05,,B-001,Land Bank of the Philippines,0,-7.11
871,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-PDC,PR030017,GL0000112,2018-10-05,,B-001,Land Bank of the Philippines,0,-79.00
877,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-PDC,PR030017,GL0000057,2018-10-05,,B-001,Land Bank of the Philippines,0,-237.00
875,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-PDC,PR030017,GL0000116,2018-10-05,,B-001,Land Bank of the Philippines,0,-237.00
881,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-PDC,PR030017,GL0000085,2018-10-05,,B-001,Land Bank of the Philippines,0,-589.89
879,ASCT-LT000010,VIRGINIA FOODS,Payment,Rent Receivables-PDC,PR030017,GL0000084,2018-10-05,,B-001,Land Bank of the Philippines,0,-10700.00
1081,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000007,GL0000146,2018-10-17,,B-001,Land Bank of the Philippines,0,-16.80
1083,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000007,GL0000147,2018-10-17,,B-001,Land Bank of the Philippines,0,-237.00
1085,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000007,GL0000085,2018-10-17,,B-001,Land Bank of the Philippines,0,-560.11
1089,ASCT-LT000010,VIRGINIA FOODS,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000007,GL0000114,2018-10-17,,B-001,Land Bank of the Philippines,0,-589.89
1087,ASCT-LT000010,VIRGINIA FOODS,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000007,GL0000113,2018-10-17,,B-001,Land Bank of the Philippines,0,-10700.00
