ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
63,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000016,GL0000019,2018-06-30,2018-07-08,,,8132.00,0
67,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000017,GL0000020,2018-06-30,2018-07-08,,,797.33,0
129,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,ASCT-B0000020,GL0000020,2018-06-30,,,,0,-797.33
127,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,ASCT-B0000020,GL0000019,2018-06-30,,,,0,-8132.00
325,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000047,GL0000054,2018-07-31,2018-08-08,,,12840.00,0
301,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000045,GL0000052,2018-07-31,2018-08-08,,,1334.00,0
334,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,ASCT-B0000035,GL0000052,2018-07-31,,,,0,-1334.00
336,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,ASCT-B0000035,GL0000054,2018-07-31,,,,0,-2576.67
401,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000002,GL0000054,2018-08-07,,B-001,Land Bank of the Philippines,0,-10263.33
404,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000057,GL0000068,2018-08-31,2018-09-08,,,12840.00,0
506,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000077,GL0000089,2018-08-31,2018-09-08,,,1346.65,0
683,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,PR030010,GL0000089,2018-09-08,,B-001,Land Bank of the Philippines,0,-1346.65
681,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR030010,GL0000068,2018-09-08,,B-001,Land Bank of the Philippines,0,-12840.00
771,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000107,GL0000121,2018-09-30,2018-10-08,,,12840.00,0
775,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000108,GL0000122,2018-09-30,2018-10-08,,,1346.65,0
889,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,A/R  Non Trade External,PR030019,GL0000122,2018-10-08,,B-001,Land Bank of the Philippines,0,-1346.65
887,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR030019,GL0000121,2018-10-08,,B-001,Land Bank of the Philippines,0,-12840.00
961,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,Rent Receivables,ASCT-IC0000136,GL0000154,2018-10-31,2018-11-08,,,12840.00,0
965,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Invoice,A/R  Non Trade External,ASCT-IC0000137,GL0000155,2018-10-31,2018-11-08,,,1330.55,0
