ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
139,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-DM0000001,GL0000028,2018-06-29,2018-07-08,,,89.70,0
48,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000012,GL0000016,2018-06-30,2018-07-08,,,5564.00,0
134,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000024,GL0000027,2018-06-30,2018-07-08,,,1682.83,0
260,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,ASCT-B0000024,GL0000028,2018-06-30,,,,0,-89.70
144,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,ASCT-B0000024,GL0000027,2018-06-30,,,,0,-1682.83
142,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,ASCT-B0000024,GL0000016,2018-06-30,,,,0,-5564.00
237,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000032,GL0000039,2018-07-31,2018-08-08,,,12840.00,0
241,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000033,GL0000040,2018-07-31,2018-08-08,,,1175.30,0
338,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,ASCT-B0000036,GL0000039,2018-07-31,,,,0,-5503.47
363,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030003,GL0000040,2018-08-09,,B-001,Land Bank of the Philippines,0,-1175.30
361,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030003,GL0000039,2018-08-09,,B-001,Land Bank of the Philippines,0,-7336.53
433,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000064,GL0000075,2018-08-31,2018-09-08,,,12840.00,0
437,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000065,GL0000076,2018-08-31,2018-09-08,,,1260.40,0
669,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030007,GL0000076,2018-09-02,,B-001,Land Bank of the Philippines,0,-1260.40
667,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030007,GL0000075,2018-09-02,,B-001,Land Bank of the Philippines,0,-12840.00
762,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000105,GL0000119,2018-09-30,2018-10-08,,,12840.00,0
766,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000106,GL0000120,2018-09-30,2018-10-08,,,1261.55,0
869,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030016,GL0000120,2018-10-02,,B-001,Land Bank of the Philippines,0,-1261.55
867,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,Rent Receivables,PR030016,GL0000119,2018-10-02,,B-001,Land Bank of the Philippines,0,-12840.00
952,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,Rent Receivables,ASCT-IC0000134,GL0000152,2018-10-31,2018-11-08,,,12840.00,0
956,ASCT-LT000012,RDIAZ BUSINESS CENTER,Invoice,A/R  Non Trade External,ASCT-IC0000135,GL0000153,2018-10-31,2018-11-08,,,1259.25,0
1193,ASCT-LT000012,RDIAZ BUSINESS CENTER,Payment,A/R  Non Trade External,PR030026,GL0000153,2018-11-08,,B-001,Land Bank of the Philippines,0,-1259.25
