ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2236,ASCT-LT000014,JOLLIBEE,Invoice,A/R  Non Trade External,ASCT-IC0000321,GL0000377,2018-12-31,2019-01-08,,,666103.32,0
2232,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000320,GL0000376,2018-12-31,2019-01-08,,,609743.84,0
2252,ASCT-LT000014,JOLLIBEE,Invoice,A/R  Non Trade External,ASCT-IC0000323,GL0000379,2019-01-31,2019-02-08,,,608793.00,0
2248,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000322,GL0000378,2019-01-31,2019-02-08,,,303555.86,0
2606,ASCT-LT000014,JOLLIBEE,Invoice,A/R  Non Trade External,ASCT-IC0000368,GL0000426,2019-02-28,2019-03-08,,,658057.71,0
2602,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000367,GL0000425,2019-02-28,2019-03-08,,,281208.06,0
3753,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#2-1781,GL0000378,2019-02-28,,,,0,-303555.86
3755,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#2-1781,GL0000379,2019-02-28,,,,0,-608793.00
3759,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#2-1782,GL0000376,2019-02-28,,,,0,-609743.84
3761,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#2-1782,GL0000377,2019-02-28,,,,0,-666103.32
3763,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#3-2329,GL0000425,2019-03-30,,,,0,-281208.06
3765,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#3-2329,GL0000426,2019-03-30,,,,0,-658057.71
3163,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000432,GL0000494,2019-03-31,2019-04-08,,,618792.57,0
3081,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000427,GL0000489,2019-03-31,2019-04-08,,,269175.08,0
4165,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#4-1558,GL0000489,2019-04-10,,,,0,-269175.08
4167,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#4-1558,GL0000494,2019-04-10,,,,0,-618792.57
3688,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000496,GL0000568,2019-04-30,2019-05-08,,,738679.30,0
3672,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000495,GL0000567,2019-04-30,2019-05-08,,,316886.26,0
4086,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000550,GL0000633,2019-05-31,2019-06-08,,,697613.01,0
4082,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000549,GL0000632,2019-05-31,2019-06-08,,,274143.88,0
4621,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#5-1129,GL0000567,2019-06-01,,,,0,-316886.26
4623,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#5-1129,GL0000568,2019-06-01,,,,0,-738679.30
4515,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000613,GL0000702,2019-06-30,2019-07-08,,,724240.15,0
4511,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000612,GL0000701,2019-06-30,2019-07-08,,,251528.17,0
5319,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#1347,GL0000632,2019-07-01,,,,0,-274143.88
5321,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#1347,GL0000633,2019-07-01,,,,0,-697613.01
5323,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#1896,GL0000701,2019-07-03,,,,0,-251528.17
5325,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV#1896,GL0000702,2019-07-03,,,,0,-724240.15
4917,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000673,GL0000770,2019-07-31,2019-08-08,,,630282.79,0
4913,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000672,GL0000769,2019-07-31,2019-08-08,,,247816.96,0
5484,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV# 08 -1461,GL0000769,2019-08-07,,,,0,-247816.96
5486,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 08 -1461,GL0000770,2019-08-07,,,,0,-630282.79
5278,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000736,GL0000842,2019-08-31,2019-09-08,,,348260.50,0
5283,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000737,GL0000843,2019-08-31,2019-09-08,,,289255.28,0
5274,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000735,GL0000841,2019-08-31,2019-09-08,,,259702.11,0
6576,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV# 09001673,GL0000841,2019-09-18,,,,0,-259702.11
6580,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09001673,GL0000843,2019-09-18,,,,0,-289255.28
6578,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 09001673,GL0000842,2019-09-18,,,,0,-348260.50
5801,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000812,GL0000930,2019-09-30,2019-10-08,,,669644.44,0
5797,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000811,GL0000929,2019-09-30,2019-10-08,,,234539.28,0
7653,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV# 1000113,GL0000929,2019-10-11,,,,0,-234539.28
7655,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 1000113,GL0000930,2019-10-11,,,,0,-669644.44
6143,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000848,GL0000980,2019-10-31,2019-11-08,,,606446.20,0
6139,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000847,GL0000979,2019-10-31,2019-11-08,,,235248.13,0
6859,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000936,GL0001090,2019-11-30,2019-12-08,,,673901.05,0
6855,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000935,GL0001089,2019-11-30,2019-12-08,,,256789.68,0
8239,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV# 12001808,GL0001089,2019-12-27,,,,0,-256789.68
8241,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 12001808,GL0001090,2019-12-27,,,,0,-673901.05
7306,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0000990,GL0001161,2019-12-31,2020-01-08,,,668423.53,0
7302,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0000989,GL0001160,2019-12-31,2020-01-08,,,393664.85,0
8243,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV# 01002851,GL0001160,2020-01-23,,,,0,-393664.85
8245,ASCT-LT000014,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV# 01002851,GL0001161,2020-01-23,,,,0,-668423.53
9104,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0001267,GL0001469,2020-01-31,2020-02-08,,,730119.34,0
9100,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0001266,GL0001468,2020-01-31,2020-02-08,,,261153.29,0
9119,ASCT-LT000014,JOLLIBEE,Invoice,A/R Non Trade Internal,ASCT-IC0001269,GL0001471,2020-02-29,2020-03-08,,,628792.36,0
9115,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0001268,GL0001470,2020-02-29,2020-03-08,,,217092.19,0
9914,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV#03002050,GL0001470,2020-03-16,,,,0,-217092.19
