ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
511,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000078,GL0000090,2018-08-31,2018-09-08,,,8974.20,0
538,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000083,GL0000095,2018-08-31,2018-09-08,,,4489.48,0
820,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000119,GL0000133,2018-09-30,2018-10-08,,,10700.00,0
824,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000120,GL0000134,2018-09-30,2018-10-08,,,6831.00,0
856,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000085,GL0000140,2018-09-30,2018-09-08,,,269.27,0
1024,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000147,GL0000167,2018-10-31,2018-11-08,,,10700.00,0
1028,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000148,GL0000168,2018-10-31,2018-11-08,,,5439.50,0
1033,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000096,GL0000169,2018-10-31,2018-09-08,,,411.99,0
1035,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000096,GL0000170,2018-10-31,2018-10-08,,,350.62,0
1424,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030098-B,GL0000140,2018-11-22,,B-001,Land Bank of the Philippines,0,-269.27
1428,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030098-B,GL0000170,2018-11-22,,B-001,Land Bank of the Philippines,0,-350.62
1426,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030098-B,GL0000169,2018-11-22,,B-001,Land Bank of the Philippines,0,-411.99
1432,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030098-B,GL0000095,2018-11-22,,B-001,Land Bank of the Philippines,0,-4489.48
1436,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030098-B,GL0000134,2018-11-22,,B-001,Land Bank of the Philippines,0,-5799.12
1430,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030098-B,GL0000090,2018-11-22,,B-001,Land Bank of the Philippines,0,-8974.20
1434,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030098-B,GL0000133,2018-11-22,,B-001,Land Bank of the Philippines,0,-10700.00
1388,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000207,GL0000236,2018-11-30,2018-12-08,,,10700.00,0
1392,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000208,GL0000237,2018-11-30,2018-12-08,,,5612.00,0
1532,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000131,GL0000263,2018-11-30,2018-11-08,,,322.79,0
1437,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000214,GL0000245,2018-11-30,2018-12-08,,,305.76,0
1274,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000178,GL0000205,2018-11-30,2018-12-08,,,200.00,0
1535,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,ASCT-B0000131,GL0000134,2018-11-30,,,,0,-1031.88
1537,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,ASCT-B0000131,GL0000167,2018-11-30,,,,0,-9668.12
1768,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000249,GL0000289,2018-12-31,2019-01-08,,,10700.00,0
1772,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000250,GL0000290,2018-12-31,2019-01-08,,,5267.00,0
1779,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000145,GL0000292,2018-12-31,2018-12-08,,,336.36,0
1777,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000145,GL0000291,2018-12-31,2018-11-08,,,203.83,0
2117,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000304,GL0000346,2019-01-31,2019-02-08,,,10700.00,0
2121,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000305,GL0000347,2019-01-31,2019-02-08,,,4933.50,0
2128,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000176,GL0000349,2019-01-31,2018-12-08,,,514.62,0
2130,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000176,GL0000350,2019-01-31,2019-01-08,,,319.34,0
2126,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000176,GL0000348,2019-01-31,2018-11-08,,,209.94,0
2279,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000205,2019-02-06,,B-001,Land Bank of the Philippines,0,-200.00
2265,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000291,2019-02-06,,B-001,Land Bank of the Philippines,0,-203.83
2269,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000348,2019-02-06,,B-001,Land Bank of the Philippines,0,-209.94
2285,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000245,2019-02-06,,B-001,Land Bank of the Philippines,0,-305.76
2273,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000350,2019-02-06,,B-001,Land Bank of the Philippines,0,-319.34
2263,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000263,2019-02-06,,B-001,Land Bank of the Philippines,0,-322.79
2267,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000292,2019-02-06,,B-001,Land Bank of the Philippines,0,-336.36
2271,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000349,2019-02-06,,B-001,Land Bank of the Philippines,0,-514.62
2275,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030127,GL0000167,2019-02-06,,B-001,Land Bank of the Philippines,0,-1031.88
2293,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000347,2019-02-06,,B-001,Land Bank of the Philippines,0,-4933.50
2289,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000290,2019-02-06,,B-001,Land Bank of the Philippines,0,-5267.00
2277,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000168,2019-02-06,,B-001,Land Bank of the Philippines,0,-5439.50
2283,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030127,GL0000237,2019-02-06,,B-001,Land Bank of the Philippines,0,-5612.00
2281,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030127,GL0000236,2019-02-06,,B-001,Land Bank of the Philippines,0,-10700.00
2287,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030127,GL0000289,2019-02-06,,B-001,Land Bank of the Philippines,0,-10700.00
2291,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030127,GL0000346,2019-02-06,,B-001,Land Bank of the Philippines,0,-10700.00
2488,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000350,GL0000407,2019-02-28,2019-03-08,,,10700.00,0
2492,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000351,GL0000408,2019-02-28,2019-03-08,,,4542.50,0
2654,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,ASCT-B0000211,GL0000407,2019-02-28,,,,0,-8499.43
3067,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030148/CHECK#18480177,GL0000407,2019-03-25,,,,0,-2200.57
3069,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030148/CHECK#18480177,GL0000408,2019-03-25,,,,0,-4542.50
3071,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030148/CHECK#18480177,GL0000455,2019-03-25,,,,0,-8499.43
2822,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000394,GL0000455,2019-03-31,2019-04-08,,,10700.00,0
2826,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000395,GL0000456,2019-03-31,2019-04-08,,,5290.00,0
3356,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000454,GL0000520,2019-04-30,2019-05-08,,,10700.00,0
3360,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000455,GL0000521,2019-04-30,2019-05-08,,,5071.50,0
3562,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000273,GL0000552,2019-04-30,2019-04-08,,,149.81,0
3560,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000482,GL0000551,2019-04-30,2019-05-08,,,81.94,0
3904,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000517,GL0000595,2019-05-31,2019-06-08,,,10700.00,0
3908,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000518,GL0000596,2019-05-31,2019-06-08,,,5140.50,0
3915,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000294,GL0000598,2019-05-31,2019-05-08,,,317.07,0
3913,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000294,GL0000597,2019-05-31,2019-04-08,,,229.21,0
4382,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000551,2019-06-21,,B-001,Land Bank of the Philippines,0,-81.94
4368,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000552,2019-06-21,,B-001,Land Bank of the Philippines,0,-149.81
4370,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000597,2019-06-21,,B-001,Land Bank of the Philippines,0,-229.21
4372,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000598,2019-06-21,,B-001,Land Bank of the Philippines,0,-317.07
4374,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030240/CHECK#1871167,GL0000455,2019-06-21,,B-001,Land Bank of the Philippines,0,-2200.57
4380,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000521,2019-06-21,,B-001,Land Bank of the Philippines,0,-5071.50
4386,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000596,2019-06-21,,B-001,Land Bank of the Philippines,0,-5140.50
4376,ASCT-LT000016,WAFFLE TIME,Payment,A/R  Non Trade External,PR030240/CHECK#1871167,GL0000456,2019-06-21,,B-001,Land Bank of the Philippines,0,-5290.00
4378,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030240/CHECK#1871167,GL0000520,2019-06-21,,B-001,Land Bank of the Philippines,0,-10700.00
4384,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PR030240/CHECK#1871167,GL0000595,2019-06-21,,B-001,Land Bank of the Philippines,0,-10700.00
4401,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000590,GL0000678,2019-06-30,2019-07-08,,,10700.00,0
4405,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000591,GL0000679,2019-06-30,2019-07-08,,,6003.00,0
4526,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000614,GL0000703,2019-06-30,2019-07-08,,,308.75,0
4539,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,ASCT-B0000356,GL0000678,2019-06-30,,,,0,-7803.34
4747,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000640,GL0000734,2019-07-31,2019-08-08,,,10700.00,0
4751,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000641,GL0000735,2019-07-31,2019-08-08,,,5037.00,0
4756,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000368,GL0000736,2019-07-31,2019-07-08,,,184.17,0
5338,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000744,GL0000850,2019-08-31,2019-09-08,,,11597.42,0
5342,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000745,GL0000851,2019-08-31,2019-09-08,,,5313.00,0
5349,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000422,GL0000853,2019-08-31,2019-08-08,,,314.74,0
5347,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000422,GL0000852,2019-08-31,2019-07-08,,,281.78,0
5812,ASCT-LT000016,WAFFLE TIME,Invoice,Rent Receivables,ASCT-IC0000813,GL0000931,2019-09-30,2019-10-08,,,11770.00,0
5617,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-IC0000777,GL0000889,2019-09-30,2019-10-08,,,5301.50,0
5859,ASCT-LT000016,WAFFLE TIME,Invoice,A/R  Non Trade External,ASCT-B0000465,GL0000940,2019-09-30,2019-09-08,,,338.21,0
