ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
520,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0000080,GL0000092,2018-08-31,2018-09-08,,,9940.64,0
524,ASCT-LT000017,BUKO FACTORY,Invoice,A/R  Non Trade External,ASCT-IC0000081,GL0000093,2018-08-31,2018-09-08,,,1347.18,0
532,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,ASCT-B0000056,GL0000093,2018-08-31,,,,0,-1347.18
530,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,ASCT-B0000056,GL0000092,2018-08-31,,,,0,-9940.64
829,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0000121,GL0000135,2018-09-30,2018-10-08,,,12840.00,0
833,ASCT-LT000017,BUKO FACTORY,Invoice,A/R  Non Trade External,ASCT-IC0000122,GL0000136,2018-09-30,2018-10-08,,,1771.00,0
839,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,ASCT-B0000083,GL0000135,2018-09-30,,,,0,-1552.18
865,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,PR030015,GL0000136,2018-10-01,,B-001,Land Bank of the Philippines,0,-1771.00
863,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,PR030015,GL0000135,2018-10-01,,B-001,Land Bank of the Philippines,0,-11287.82
1037,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0000149,GL0000171,2018-10-31,2018-11-08,,,12840.00,0
1041,ASCT-LT000017,BUKO FACTORY,Invoice,A/R  Non Trade External,ASCT-IC0000150,GL0000172,2018-10-31,2018-11-08,,,1782.50,0
1133,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,PR030023,GL0000172,2018-10-31,,B-001,Land Bank of the Philippines,0,-1782.50
1131,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,PR030023,GL0000171,2018-10-31,,B-001,Land Bank of the Philippines,0,-12840.00
1399,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0000209,GL0000239,2018-11-30,2018-12-08,,,12840.00,0
1403,ASCT-LT000017,BUKO FACTORY,Invoice,A/R  Non Trade External,ASCT-IC0000210,GL0000240,2018-11-30,2018-12-08,,,1828.50,0
1270,ASCT-LT000017,BUKO FACTORY,Invoice,A/R  Non Trade External,ASCT-IC0000176,GL0000203,2018-11-30,2018-12-08,,,200.00,0
1578,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,PR030030,GL0000203,2018-12-07,,B-001,Land Bank of the Philippines,0,-200.00
1582,ASCT-LT000017,BUKO FACTORY,Payment,A/R  Non Trade External,PR030030,GL0000240,2018-12-07,,B-001,Land Bank of the Philippines,0,-1828.50
