ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
638,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000090,GL0000103,2018-08-31,2018-09-08,,,12080.64,0
642,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000091,GL0000104,2018-08-31,2018-09-08,,,5032.26,0
648,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,ASCT-B0000069,GL0000103,2018-08-31,,,,0,-10700.00
703,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000005,GL0000103,2018-09-04,,B-001,Land Bank of the Philippines,0,-1380.64
705,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000005,GL0000104,2018-09-04,,B-001,Land Bank of the Philippines,0,-5032.26
811,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000117,GL0000131,2018-09-30,2018-10-08,,,10700.00,0
815,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000118,GL0000132,2018-09-30,2018-10-08,,,4014.65,0
897,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000006,GL0000132,2018-10-05,,B-001,Land Bank of the Philippines,0,-4014.65
895,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables-RR Clearing,ASCT-UFT0000006,GL0000131,2018-10-05,,B-001,Land Bank of the Philippines,0,-10700.00
1015,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000145,GL0000165,2018-10-31,2018-11-08,,,10700.00,0
1019,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000146,GL0000166,2018-10-31,2018-11-08,,,3755.90,0
1187,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR030092,GL0000166,2018-11-08,,B-001,Land Bank of the Philippines,0,-3755.90
1185,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR030092,GL0000165,2018-11-08,,B-001,Land Bank of the Philippines,0,-10700.00
1379,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000205,GL0000234,2018-11-30,2018-12-08,,,10700.00,0
1383,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000206,GL0000235,2018-11-30,2018-12-08,,,3920.35,0
1472,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000219,GL0000252,2018-11-30,2018-12-08,,,300.00,0
1286,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000184,GL0000211,2018-11-30,2018-12-08,,,200.00,0
1654,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR0300113,GL0000211,2018-12-07,,B-001,Land Bank of the Philippines,0,-200.00
1660,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR0300113,GL0000252,2018-12-07,,B-001,Land Bank of the Philippines,0,-300.00
1658,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR0300113,GL0000235,2018-12-07,,B-001,Land Bank of the Philippines,0,-3920.35
1656,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR0300113,GL0000234,2018-12-07,,B-001,Land Bank of the Philippines,0,-10700.00
1759,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000247,GL0000287,2018-12-31,2019-01-08,,,10700.00,0
1763,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000248,GL0000288,2018-12-31,2019-01-08,,,3822.60,0
1941,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR030118,GL0000288,2019-01-09,,B-001,Land Bank of the Philippines,0,-3822.60
1939,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR030118,GL0000287,2019-01-09,,B-001,Land Bank of the Philippines,0,-10700.00
2068,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000293,GL0000335,2019-01-31,2019-02-08,,,10700.00,0
2072,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000294,GL0000336,2019-01-31,2019-02-08,,,3677.70,0
2386,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR030132,GL0000336,2019-02-08,,B-001,Land Bank of the Philippines,0,-3677.70
2384,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR030132,GL0000335,2019-02-08,,B-001,Land Bank of the Philippines,0,-10700.00
2479,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000348,GL0000405,2019-02-28,2019-03-08,,,10700.00,0
2483,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000349,GL0000406,2019-02-28,2019-03-08,,,4389.55,0
2712,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,PR030141,GL0000406,2019-03-07,,B-001,Land Bank of the Philippines,0,-4389.55
2710,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,PR030141,GL0000405,2019-03-07,,B-001,Land Bank of the Philippines,0,-10700.00
2813,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000392,GL0000453,2019-03-31,2019-04-08,,,10700.00,0
2817,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000393,GL0000454,2019-03-31,2019-04-08,,,4931.20,0
3605,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000488,GL0000561,2019-03-31,2019-04-08,,,98.62,0
3610,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000014,GL0000561,2019-04-26,,B-001,Land Bank of the Philippines,0,-98.62
3608,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External-AR Clearing,ASCT-UFT0000014,GL0000454,2019-04-26,,B-001,Land Bank of the Philippines,0,-4931.20
3594,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,Rent Receivables,ASCT-IC0000486,GL0000559,2019-04-30,2019-05-08,,,10700.00,0
3598,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Invoice,A/R  Non Trade External,ASCT-IC0000487,GL0000560,2019-04-30,2019-05-08,,,5149.93,0
3616,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,A/R  Non Trade External,P0000221,GL0000560,2019-04-30,,,,0,-5149.93
3612,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,P0000221,GL0000453,2019-04-30,,,,0,-10700.00
3614,ASCT-LT000018,TWIN ANGELS FOOD PANTRY,Payment,Rent Receivables,P0000221,GL0000559,2019-04-30,,,,0,-10700.00
