ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
2891,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000408,GL0000470,2018-12-31,2019-01-08,,,12149.55,0
2896,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,ASCT-B0000230,GL0000470,2018-12-31,,,,0,-12149.55
2897,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000409,GL0000471,2019-01-31,2019-02-08,,,23540.00,0
2902,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,ASCT-B0000231,GL0000471,2019-01-31,,,,0,-11390.45
2903,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000410,GL0000472,2019-02-28,2019-03-08,,,23540.00,0
2909,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000411,GL0000474,2019-03-31,2019-04-08,,,23540.00,0
3556,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000481,GL0000550,2019-04-30,2019-05-08,,,23540.00,0
3803,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030183,GL0000471,2019-05-19,,B-001,Land Bank of the Philippines,0,-12149.55
3805,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030183,GL0000472,2019-05-19,,B-001,Land Bank of the Philippines,0,-23540.00
3807,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030183,GL0000474,2019-05-19,,B-001,Land Bank of the Philippines,0,-23540.00
4006,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000534,GL0000616,2019-05-31,2019-06-08,,,23540.00,0
4502,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000610,GL0000699,2019-06-30,2019-07-08,,,23540.00,0
4854,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000662,GL0000758,2019-07-31,2019-08-08,,,23540.00,0
4991,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030277,GL0000550,2019-08-19,,B-001,Land Bank of the Philippines,0,-23540.00
4993,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR30278,GL0000616,2019-08-19,,B-001,Land Bank of the Philippines,0,-23540.00
4995,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030279,GL0000699,2019-08-19,,B-001,Land Bank of the Philippines,0,-23540.00
4997,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030280,GL0000758,2019-08-19,,B-001,Land Bank of the Philippines,0,-23540.00
5198,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000718,GL0000824,2019-08-31,2019-09-08,,,23540.00,0
5500,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030294,GL0000824,2019-09-24,,B-001,Land Bank of the Philippines,0,-23540.00
5719,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000799,GL0000911,2019-09-30,2019-10-08,,,23540.00,0
5723,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0000800,GL0000912,2019-09-30,2019-10-08,,,2628.37,0
5894,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030300,GL0000912,2019-10-05,,B-001,Land Bank of the Philippines,0,-2628.37
5892,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030300,GL0000911,2019-10-05,,B-001,Land Bank of the Philippines,0,-23540.00
6222,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000865,GL0000997,2019-10-31,2019-11-08,,,23540.00,0
6226,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0000866,GL0000998,2019-10-31,2019-11-08,,,10511.90,0
6465,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030363,GL0000998,2019-11-04,,B-001,Land Bank of the Philippines,0,-10511.90
6463,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030363,GL0000997,2019-11-04,,B-001,Land Bank of the Philippines,0,-23540.00
6870,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000937,GL0001091,2019-11-30,2019-12-08,,,23540.00,0
6874,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0000938,GL0001092,2019-11-30,2019-12-08,,,12098.96,0
7016,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030382,GL0001092,2019-12-06,,B-001,Land Bank of the Philippines,0,-12098.96
7014,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030382,GL0001091,2019-12-06,,B-001,Land Bank of the Philippines,0,-23540.00
7238,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0000975,GL0001145,2019-12-31,2020-01-08,,,23540.00,0
7242,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0000976,GL0001146,2019-12-31,2020-01-08,,,3515.90,0
7532,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030394,GL0001146,2020-01-06,,B-001,Land Bank of the Philippines,0,-3515.90
7530,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030394,GL0001145,2020-01-06,,B-001,Land Bank of the Philippines,0,-23540.00
7859,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001071,GL0001246,2020-01-31,2020-02-08,,,23540.00,0
7863,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0001072,GL0001247,2020-01-31,2020-02-08,,,3780.40,0
8120,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030469,GL0001247,2020-02-06,,B-001,Land Bank of the Philippines,0,-3780.40
8118,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030469,GL0001246,2020-02-06,,B-001,Land Bank of the Philippines,0,-23540.00
8441,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001148,GL0001342,2020-02-29,2020-03-08,,,23540.00,0
8445,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0001149,GL0001343,2020-02-29,2020-03-08,,,3665.40,0
8680,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030486,GL0001343,2020-03-06,,B-001,Land Bank of the Philippines,0,-3665.40
8678,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030486,GL0001342,2020-03-06,,B-001,Land Bank of the Philippines,0,-23540.00
8922,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001227,GL0001430,2020-03-31,2020-04-08,,,12358.50,0
8926,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0001228,GL0001431,2020-03-31,2020-04-08,,,3094.70,0
9343,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001298,GL0001508,2020-04-30,2020-05-08,,,12358.50,0
9347,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0001299,GL0001509,2020-04-30,2020-05-08,,,4013.20,0
9554,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001335,GL0001547,2020-05-31,2020-06-08,,,12358.50,0
9558,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0001336,GL0001548,2020-05-31,2020-06-08,,,10411.40,0
9307,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030502,GL0001431,2020-06-16,,B-001,Land Bank of the Philippines,0,-3094.70
9305,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030502,GL0001430,2020-06-16,,B-001,Land Bank of the Philippines,0,-12358.50
10098,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001406,GL0001624,2020-06-30,2020-07-08,,,24717.00,0
10102,ASCT-LT000036,M Lhuillier,Invoice,A/R Non Trade Internal,ASCT-IC0001407,GL0001625,2020-06-30,2020-07-08,,,12435.90,0
10108,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,ASCT-B0000780,GL0001624,2020-06-30,,,,0,-12358.50
9663,ASCT-LT000036,M Lhuillier,Payment,A/R  Non Trade External,PR030512,GL0001509,2020-07-04,,B-001,Land Bank of the Philippines,0,-4013.20
