ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
1497,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000222,GL0000256,2018-11-30,2018-12-08,,,31064.52,0
1501,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000223,GL0000257,2018-11-30,2018-12-08,,,3024.74,0
1288,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000185,GL0000212,2018-11-30,2018-12-08,,,200.00,0
1451,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000216,GL0000249,2018-11-30,2018-12-08,,,200.00,0
1507,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,ASCT-B0000129,GL0000212,2018-11-30,,,,0,-200.00
1509,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,ASCT-B0000129,GL0000256,2018-11-30,,,,0,-21200.00
1572,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030029,GL0000249,2018-12-07,,B-001,Land Bank of the Philippines,0,-200.00
1576,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030029,GL0000257,2018-12-07,,B-001,Land Bank of the Philippines,0,-3024.74
1574,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030029,GL0000256,2018-12-07,,B-001,Land Bank of the Philippines,0,-9864.52
1807,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000255,GL0000298,2018-12-31,2019-01-08,,,21400.00,0
1811,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000256,GL0000299,2018-12-31,2019-01-08,,,2343.50,0
1937,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030042,GL0000299,2019-01-08,,B-001,Land Bank of the Philippines,0,-2343.50
1935,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030042,GL0000298,2019-01-08,,B-001,Land Bank of the Philippines,0,-21400.00
2097,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000300,GL0000342,2019-01-31,2019-02-08,,,21400.00,0
2101,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000301,GL0000343,2019-01-31,2019-02-08,,,2550.50,0
2231,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030046,GL0000343,2019-02-06,,B-001,Land Bank of the Philippines,0,-2550.50
2229,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030046,GL0000342,2019-02-06,,B-001,Land Bank of the Philippines,0,-21400.00
2519,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000357,GL0000414,2019-02-28,2019-03-08,,,21400.00,0
2523,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000358,GL0000415,2019-02-28,2019-03-08,,,2516.00,0
2676,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030158,GL0000415,2019-03-08,,B-001,Land Bank of the Philippines,0,-2516.00
2674,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030158,GL0000414,2019-03-08,,B-001,Land Bank of the Philippines,0,-21400.00
2851,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000400,GL0000462,2019-03-31,2019-04-08,,,21400.00,0
2855,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000401,GL0000463,2019-03-31,2019-04-08,,,2941.50,0
3195,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030167,GL0000463,2019-04-06,,B-001,Land Bank of the Philippines,0,-2941.50
3193,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030167,GL0000462,2019-04-06,,B-001,Land Bank of the Philippines,0,-21400.00
3391,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0000461,GL0000528,2019-04-30,2019-05-08,,,21400.00,0
3395,ASCT-LT000037,Miche Cellphone Accessories,Invoice,A/R  Non Trade External,ASCT-IC0000462,GL0000529,2019-04-30,2019-05-08,,,2401.00,0
3715,ASCT-LT000037,Miche Cellphone Accessories,Payment,A/R  Non Trade External,PR030174,GL0000529,2019-05-03,,B-001,Land Bank of the Philippines,0,-2401.00
