ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
3026,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000423,GL0000480,2019-03-31,2019-04-08,,,15014.52,0
3030,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000424,GL0000481,2019-03-31,2019-04-08,,,2147.48,0
3061,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,ASCT-B0000237,GL0000481,2019-03-31,,,,0,-1035.48
3059,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,ASCT-B0000237,GL0000480,2019-03-31,,,,0,-15014.52
3412,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000466,GL0000533,2019-04-30,2019-05-08,,,16050.00,0
3416,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000467,GL0000534,2019-04-30,2019-05-08,,,2342.70,0
3570,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000275,GL0000553,2019-04-30,2019-04-08,,,22.24,0
3957,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000527,GL0000607,2019-05-31,2019-06-08,,,16050.00,0
3970,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000528,GL0000608,2019-05-31,2019-06-08,,,2420.90,0
3977,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000299,GL0000610,2019-05-31,2019-05-08,,,367.85,0
3975,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000299,GL0000609,2019-05-31,2019-04-08,,,34.03,0
4240,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030197,GL0000553,2019-06-18,,B-001,Land Bank of the Philippines,0,-22.24
4242,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030197,GL0000609,2019-06-18,,B-001,Land Bank of the Philippines,0,-34.03
4244,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030197,GL0000610,2019-06-18,,B-001,Land Bank of the Philippines,0,-367.85
4246,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030197,GL0000481,2019-06-18,,B-001,Land Bank of the Philippines,0,-1112.00
4250,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030197,GL0000534,2019-06-18,,B-001,Land Bank of the Philippines,0,-2342.70
4254,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030197,GL0000608,2019-06-18,,B-001,Land Bank of the Philippines,0,-2420.90
4248,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PR030197,GL0000533,2019-06-18,,B-001,Land Bank of the Philippines,0,-16050.00
4252,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PR030197,GL0000607,2019-06-18,,B-001,Land Bank of the Philippines,0,-16050.00
4447,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000599,GL0000687,2019-06-30,2019-07-08,,,16050.00,0
4451,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000600,GL0000688,2019-06-30,2019-07-08,,,2431.25,0
4536,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000615,GL0000704,2019-06-30,2019-07-08,,,247.74,0
4563,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030255,GL0000704,2019-07-03,,B-001,Land Bank of the Philippines,0,-247.74
4561,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PR030255,GL0000688,2019-07-03,,B-001,Land Bank of the Philippines,0,-2431.25
4559,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PR030255,GL0000687,2019-07-03,,B-001,Land Bank of the Philippines,0,-16050.00
4799,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000651,GL0000746,2019-07-31,2019-08-08,,,16050.00,0
4803,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000652,GL0000747,2019-07-31,2019-08-08,,,2279.45,0
5144,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000706,GL0000809,2019-08-31,2019-09-08,,,16050.00,0
5148,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000707,GL0000810,2019-08-31,2019-09-08,,,2273.70,0
5511,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK# 460126 / OR# 030325,GL0000747,2019-09-14,,B-001,Land Bank of the Philippines,0,-2279.45
5509,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHECK# 460126 / OR# 030325,GL0000746,2019-09-14,,B-001,Land Bank of the Philippines,0,-16050.00
5841,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK # 460164 / OR# 030329,GL0000810,2019-09-17,,B-001,Land Bank of the Philippines,0,-2273.70
5839,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHECK # 460164 / OR# 030329,GL0000809,2019-09-17,,B-001,Land Bank of the Philippines,0,-16050.00
5674,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000789,GL0000901,2019-09-30,2019-10-08,,,16050.00,0
5678,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000790,GL0000902,2019-09-30,2019-10-08,,,2265.65,0
5672,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000788,GL0000900,2019-09-30,2019-10-08,,,48.88,0
5964,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK# 460178 / OR# 030342,GL0000900,2019-10-08,,B-001,Land Bank of the Philippines,0,-48.88
5968,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK# 460178 / OR# 030342,GL0000902,2019-10-08,,B-001,Land Bank of the Philippines,0,-2265.65
5966,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHECK# 460178 / OR# 030342,GL0000901,2019-10-08,,B-001,Land Bank of the Philippines,0,-16050.00
6165,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000852,GL0000984,2019-10-31,2019-11-08,,,16050.00,0
6169,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000853,GL0000985,2019-10-31,2019-11-08,,,2243.80,0
6574,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK#465508 / OR#030405,GL0000985,2019-11-07,,B-001,Land Bank of the Philippines,0,-2243.80
6572,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHECK#465508 / OR#030405,GL0000984,2019-11-07,,B-001,Land Bank of the Philippines,0,-16050.00
6733,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000913,GL0001064,2019-11-30,2019-12-08,,,16050.00,0
6737,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000914,GL0001065,2019-11-30,2019-12-08,,,2264.50,0
7282,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0000985,GL0001155,2019-12-31,2020-01-08,,,16050.00,0
7286,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0000986,GL0001156,2019-12-31,2020-01-08,,,2249.55,0
7291,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000565,GL0001157,2019-12-31,2019-12-08,,,366.29,0
8188,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHK#030446 / OR#030446,GL0001065,2020-01-02,,B-001,Land Bank of the Philippines,0,-2264.50
8186,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHK#030446 / OR#030446,GL0001064,2020-01-02,,B-001,Land Bank of the Philippines,0,-16050.00
8194,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHK#465544 / OR#030447,GL0001283,2020-01-09,,B-001,Land Bank of the Philippines,0,-365.99
8190,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHK#465544 / OR#030447,GL0001157,2020-01-09,,B-001,Land Bank of the Philippines,0,-366.29
8192,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHK#465544 / OR#030447,GL0001282,2020-01-09,,B-001,Land Bank of the Philippines,0,-560.42
8198,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHK#465544 / OR#030447,GL0001156,2020-01-09,,B-001,Land Bank of the Philippines,0,-1323.14
8196,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHK#465544 / OR#030447,GL0001155,2020-01-09,,B-001,Land Bank of the Philippines,0,-16050.00
7814,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0001061,GL0001236,2020-01-31,2020-02-08,,,16050.00,0
7818,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0001062,GL0001237,2020-01-31,2020-02-08,,,2303.60,0
8005,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000605,GL0001282,2020-01-31,2019-12-08,,,560.42,0
8007,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000605,GL0001283,2020-01-31,2020-01-08,,,365.99,0
8388,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0001138,GL0001330,2020-02-29,2020-03-08,,,16050.00,0
8392,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-IC0001139,GL0001331,2020-02-29,2020-03-08,,,2240.35,0
8399,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000645,GL0001333,2020-02-29,2020-02-08,,,367.07,0
8397,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,A/R  Non Trade External,ASCT-B0000645,GL0001332,2020-02-29,2020-01-08,,,27.79,0
9392,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK#465586 / OR# 005022,GL0001332,2020-03-18,,B-001,Land Bank of the Philippines,0,-27.79
9394,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK#465586 / OR# 005022,GL0001333,2020-03-18,,B-001,Land Bank of the Philippines,0,-367.07
9396,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK#465586 / OR# 005022,GL0001156,2020-03-18,,B-001,Land Bank of the Philippines,0,-926.41
9400,ASCT-LT000044,LFAFA ENTERPRISE,Payment,A/R  Non Trade External,PRCHECK#465586 / OR# 005022,GL0001331,2020-03-18,,B-001,Land Bank of the Philippines,0,-2240.35
