ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
3638,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000491,GL0000562,2019-04-30,2019-05-08,,,5564.00,0
3642,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000492,GL0000563,2019-04-30,2019-05-08,,,1485.83,0
3666,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,ASCT-B0000281,GL0000563,2019-04-30,,,,0,-1485.83
3664,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,ASCT-B0000281,GL0000562,2019-04-30,,,,0,-5564.00
4139,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030185,GL0000618,2019-05-29,,B-001,Land Bank of the Philippines,0,-2800.00
4137,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030185,GL0000617,2019-05-29,,B-001,Land Bank of the Philippines,0,-7049.83
4010,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000535,GL0000617,2019-05-31,2019-06-08,,,12840.00,0
4014,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000536,GL0000618,2019-05-31,2019-06-08,,,2800.00,0
4020,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,ASCT-B0000303,GL0000617,2019-05-31,,,,0,-5790.17
4482,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000606,GL0000694,2019-06-30,2019-07-08,,,12840.00,0
4486,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000607,GL0000695,2019-06-30,2019-07-08,,,2954.25,0
4549,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030251,GL0000695,2019-07-01,,B-001,Land Bank of the Philippines,0,-2954.25
4547,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030251,GL0000694,2019-07-01,,B-001,Land Bank of the Philippines,0,-12840.00
4834,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000658,GL0000753,2019-07-31,2019-08-08,,,12840.00,0
4838,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000659,GL0000754,2019-07-31,2019-08-08,,,2886.40,0
4989,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030276,GL0000754,2019-08-10,,B-001,Land Bank of the Philippines,0,-2886.40
4987,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030276,GL0000753,2019-08-10,,B-001,Land Bank of the Philippines,0,-12840.00
5176,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000714,GL0000818,2019-08-31,2019-09-08,,,12840.00,0
5180,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000715,GL0000819,2019-08-31,2019-09-08,,,2892.15,0
5174,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000713,GL0000817,2019-08-31,2019-09-08,,,10.15,0
5419,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030284,GL0000817,2019-09-04,,B-001,Land Bank of the Philippines,0,-10.15
5423,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030284,GL0000819,2019-09-04,,B-001,Land Bank of the Philippines,0,-2892.15
5421,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030284,GL0000818,2019-09-04,,B-001,Land Bank of the Philippines,0,-12840.00
5701,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000795,GL0000907,2019-09-30,2019-10-08,,,12840.00,0
5705,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000796,GL0000908,2019-09-30,2019-10-08,,,2914.00,0
5880,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030297,GL0000908,2019-10-04,,B-001,Land Bank of the Philippines,0,-2914.00
5878,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030297,GL0000907,2019-10-04,,B-001,Land Bank of the Philippines,0,-12840.00
6192,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000858,GL0000990,2019-10-31,2019-11-08,,,12840.00,0
6196,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000859,GL0000991,2019-10-31,2019-11-08,,,2863.40,0
6461,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030362,GL0000991,2019-11-04,,B-001,Land Bank of the Philippines,0,-2863.40
6459,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030362,GL0000990,2019-11-04,,B-001,Land Bank of the Philippines,0,-12840.00
6761,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000919,GL0001070,2019-11-30,2019-12-08,,,12840.00,0
6765,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000920,GL0001071,2019-11-30,2019-12-08,,,2908.25,0
6944,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030376,GL0001071,2019-12-03,,B-001,Land Bank of the Philippines,0,-2908.25
6942,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030376,GL0001070,2019-12-03,,B-001,Land Bank of the Philippines,0,-12840.00
7255,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0000979,GL0001149,2019-12-31,2020-01-08,,,12840.00,0
7259,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0000980,GL0001150,2019-12-31,2020-01-08,,,2892.15,0
7544,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030397,GL0001150,2020-01-07,,B-001,Land Bank of the Philippines,0,-2892.15
7542,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030397,GL0001149,2020-01-07,,B-001,Land Bank of the Philippines,0,-12840.00
7841,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0001067,GL0001242,2020-01-31,2020-02-08,,,12840.00,0
7845,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0001068,GL0001243,2020-01-31,2020-02-08,,,2896.75,0
8108,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030466,GL0001243,2020-02-06,,B-001,Land Bank of the Philippines,0,-2896.75
8106,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030466,GL0001242,2020-02-06,,B-001,Land Bank of the Philippines,0,-12840.00
8420,ASCT-LT000045,JJJ Key Services,Invoice,Rent Receivables,ASCT-IC0001144,GL0001338,2020-02-29,2020-03-08,,,12840.00,0
8424,ASCT-LT000045,JJJ Key Services,Invoice,A/R  Non Trade External,ASCT-IC0001145,GL0001339,2020-02-29,2020-03-08,,,3224.20,0
8698,ASCT-LT000045,JJJ Key Services,Payment,A/R  Non Trade External,PR030490,GL0001339,2020-03-07,,B-001,Land Bank of the Philippines,0,-3224.20
8696,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030490,GL0001338,2020-03-07,,B-001,Land Bank of the Philippines,0,-12840.00
