ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
4098,ASCT-LT000046,Potato Corner,Invoice,Rent Receivables,ASCT-IC0000551,GL0000634,2019-05-31,2019-06-08,,,13461.30,0
4140,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-IC0000562,GL0000638,2019-05-31,2019-06-08,,,5189.38,0
4155,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,ASCT-B0000327,GL0000638,2019-05-31,,,,0,-2588.70
4153,ASCT-LT000046,Potato Corner,Payment,Rent Receivables,ASCT-B0000327,GL0000634,2019-05-31,,,,0,-13461.30
4607,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PR030245/CHECK#2000000518,GL0000698,2019-06-06,,B-001,Land Bank of the Philippines,0,-52.01
4605,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PR030242/CHECK#2000000483,GL0000638,2019-06-06,,B-001,Land Bank of the Philippines,0,-2600.68
4611,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PR030245/CHECK#2000000518,GL0000697,2019-06-06,,B-001,Land Bank of the Philippines,0,-6453.49
4609,ASCT-LT000046,Potato Corner,Payment,Rent Receivables,PR030245/CHECK#2000000518,GL0000696,2019-06-06,,B-001,Land Bank of the Philippines,0,-16050.00
4491,ASCT-LT000046,Potato Corner,Invoice,Rent Receivables,ASCT-IC0000608,GL0000696,2019-06-30,2019-07-08,,,16050.00,0
4495,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-IC0000609,GL0000697,2019-06-30,2019-07-08,,,6505.50,0
4500,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-B0000349,GL0000698,2019-06-30,2019-06-08,,,52.01,0
4843,ASCT-LT000046,Potato Corner,Invoice,Rent Receivables,ASCT-IC0000660,GL0000755,2019-07-31,2019-08-08,,,16050.00,0
4847,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-IC0000661,GL0000756,2019-07-31,2019-08-08,,,5861.50,0
4852,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-B0000377,GL0000757,2019-07-31,2019-07-08,,,1.04,0
5395,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PR030307,GL0000757,2019-08-02,,B-001,Land Bank of the Philippines,0,-1.04
5397,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PR030307,GL0000697,2019-08-02,,B-001,Land Bank of the Philippines,0,-52.01
5401,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PR030307,GL0000756,2019-08-02,,B-001,Land Bank of the Philippines,0,-5861.50
5399,ASCT-LT000046,Potato Corner,Payment,Rent Receivables,PR030307,GL0000755,2019-08-02,,B-001,Land Bank of the Philippines,0,-16050.00
5185,ASCT-LT000046,Potato Corner,Invoice,Rent Receivables,ASCT-IC0000716,GL0000820,2019-08-31,2019-09-08,,,16050.00,0
5189,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-IC0000717,GL0000821,2019-08-31,2019-09-08,,,5700.50,0
5494,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PRCHECK#2000000623 / OR#030316,GL0000821,2019-09-06,,B-001,Land Bank of the Philippines,0,-5700.00
5492,ASCT-LT000046,Potato Corner,Payment,Rent Receivables,PRCHECK#2000000623 / OR#030316,GL0000820,2019-09-06,,B-001,Land Bank of the Philippines,0,-16050.00
5710,ASCT-LT000046,Potato Corner,Invoice,Rent Receivables,ASCT-IC0000797,GL0000909,2019-09-30,2019-10-08,,,16050.00,0
5714,ASCT-LT000046,Potato Corner,Invoice,A/R  Non Trade External,ASCT-IC0000798,GL0000910,2019-09-30,2019-10-08,,,5689.00,0
5955,ASCT-LT000046,Potato Corner,Payment,A/R  Non Trade External,PRCHECK# 2000000657 / OR# 030339,GL0000910,2019-10-07,,B-001,Land Bank of the Philippines,0,-5689.00
