ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
4928,ASCT-LT000055,PCSO Lotto,Invoice,Rent Receivables,ASCT-IC0000674,GL0000771,2019-07-31,2019-08-08,,,7869.68,0
4932,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000675,GL0000772,2019-07-31,2019-08-08,,,1532.25,0
4941,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,ASCT-B0000388,GL0000772,2019-07-31,,,,0,-1532.25
4939,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,ASCT-B0000388,GL0000771,2019-07-31,,,,0,-7869.68
5231,ASCT-LT000055,PCSO Lotto,Invoice,Rent Receivables,ASCT-IC0000726,GL0000832,2019-08-31,2019-09-08,,,12840.00,0
5235,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000727,GL0000833,2019-08-31,2019-09-08,,,3040.50,0
5241,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,ASCT-B0000408,GL0000832,2019-08-31,,,,0,-3438.07
5431,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR030286,GL0000833,2019-09-05,,B-001,Land Bank of the Philippines,0,-3040.50
5429,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR030286,GL0000832,2019-09-05,,B-001,Land Bank of the Philippines,0,-9401.93
5727,ASCT-LT000055,PCSO Lotto,Invoice,Rent Receivables,ASCT-IC0000801,GL0000913,2019-09-30,2019-10-08,,,12840.00,0
5731,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000802,GL0000914,2019-09-30,2019-10-08,,,3063.50,0
5926,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR030359,GL0000914,2019-10-15,,B-001,Land Bank of the Philippines,0,-3063.50
5924,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR030359,GL0000913,2019-10-15,,B-001,Land Bank of the Philippines,0,-12840.00
6212,ASCT-LT000055,PCSO Lotto,Invoice,Rent Receivables,ASCT-IC0000863,GL0000995,2019-10-31,2019-11-08,,,12840.00,0
6216,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000864,GL0000996,2019-10-31,2019-11-08,,,3473.90,0
6210,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000862,GL0000994,2019-10-31,2019-11-08,,,51.30,0
6453,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR030361,GL0000994,2019-11-02,,B-001,Land Bank of the Philippines,0,-51.30
6457,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR030361,GL0000996,2019-11-02,,B-001,Land Bank of the Philippines,0,-3473.90
6455,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR030361,GL0000995,2019-11-02,,B-001,Land Bank of the Philippines,0,-12840.00
6779,ASCT-LT000055,PCSO Lotto,Invoice,Rent Receivables,ASCT-IC0000923,GL0001074,2019-11-30,2019-12-08,,,12840.00,0
6783,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000924,GL0001075,2019-11-30,2019-12-08,,,2885.25,0
7008,ASCT-LT000055,PCSO Lotto,Payment,A/R  Non Trade External,PR030381,GL0001075,2019-12-06,,B-001,Land Bank of the Philippines,0,-2885.25
7006,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR030381,GL0001074,2019-12-06,,B-001,Land Bank of the Philippines,0,-12840.00
7229,ASCT-LT000055,PCSO Lotto,Invoice,Rent Receivables,ASCT-IC0000973,GL0001143,2019-12-31,2020-01-08,,,12840.00,0
7233,ASCT-LT000055,PCSO Lotto,Invoice,A/R  Non Trade External,ASCT-IC0000974,GL0001144,2019-12-31,2020-01-08,,,3181.95,0
