ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
4885,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,Rent Receivables,ASCT-IC0000667,GL0000762,2019-07-31,2019-08-08,,,5798.70,0
4889,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,A/R  Non Trade External,ASCT-IC0000668,GL0000763,2019-07-31,2019-08-08,,,4368.43,0
4902,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,A/R  Non Trade External,ASCT-B0000382,GL0000763,2019-07-31,,,,0,-4368.43
4900,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Rent Receivables,ASCT-B0000382,GL0000762,2019-07-31,,,,0,-5798.70
5246,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,A/R  Non Trade External,ASCT-IC0000729,GL0000835,2019-08-31,2019-09-08,,,15844.60,0
5242,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,Rent Receivables,ASCT-IC0000728,GL0000834,2019-08-31,2019-09-08,,,12840.00,0
5252,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Rent Receivables,ASCT-B0000409,GL0000834,2019-08-31,,,,0,-2672.87
5415,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Rent Receivables,PR030283,GL0000834,2019-09-04,,B-001,Land Bank of the Philippines,0,-10167.13
5417,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,A/R  Non Trade External,PR030283,GL0000835,2019-09-04,,B-001,Land Bank of the Philippines,0,-15844.60
5740,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,A/R  Non Trade External,ASCT-IC0000804,GL0000916,2019-09-30,2019-10-08,,,15039.60,0
5736,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,Rent Receivables,ASCT-IC0000803,GL0000915,2019-09-30,2019-10-08,,,12840.00,0
5888,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Rent Receivables,PR030299,GL0000915,2019-10-05,,B-001,Land Bank of the Philippines,0,-12840.00
5890,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,A/R  Non Trade External,PR030299,GL0000916,2019-10-05,,B-001,Land Bank of the Philippines,0,-15039.60
6231,ASCT-LT000057,Santinos Italian Pizza Slices,Invoice,Rent Receivables,ASCT-IC0000867,GL0000999,2019-10-31,2019-11-08,,,12840.00,0
