ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
6986,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0000946,GL0001110,2019-11-30,2019-12-08,,,12454.80,0
6990,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0000947,GL0001111,2019-11-30,2019-12-08,,,2037.00,0
6996,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,ASCT-B0000546,GL0001111,2019-11-30,,,,0,-2037.00
6994,ASCT-LT000058,For Me,Payment,Rent Receivables,ASCT-B0000546,GL0001110,2019-11-30,,,,0,-12454.80
7128,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0000954,GL0001121,2019-12-31,2020-01-08,,,12454.80,0
7491,ASCT-LT000058,For Me,Payment,Rent Receivables,ASCT-B0000585,GL0001121,2019-12-31,,,,0,-12454.80
7493,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,ASCT-B0000585,GL0001196,2019-12-31,,,,0,-14569.40
7631,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PRCHK# 1696356 / OR# 030429,GL0001196,2020-01-10,,B-001,Land Bank of the Philippines,0,-38613.17
7962,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001094,GL0001272,2020-01-31,2020-02-08,,,44080.30,0
7958,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001093,GL0001271,2020-01-31,2020-02-08,,,41516.00,0
8585,ASCT-LT000058,For Me,Payment,Rent Receivables,PRCHK# 1697405 / OR#005005,GL0001271,2020-02-10,,B-001,Land Bank of the Philippines,0,-41516.00
8587,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PRCHK# 1697405 / OR#005005,GL0001272,2020-02-10,,B-001,Land Bank of the Philippines,0,-44080.30
8604,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001182,GL0001380,2020-02-29,2020-03-08,,,41787.12,0
8600,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001181,GL0001379,2020-02-29,2020-03-08,,,41516.00,0
9407,ASCT-LT000058,For Me,Payment,Rent Receivables,PRCHECK#1729280 / OR#005024,GL0001379,2020-03-09,,B-001,Land Bank of the Philippines,0,-41516.00
9409,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PRCHECK#1729280 / OR#005024,GL0001380,2020-03-09,,B-001,Land Bank of the Philippines,0,-41787.12
9011,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001249,GL0001451,2020-03-31,2020-04-08,,,29082.48,0
9007,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001248,GL0001450,2020-03-31,2020-04-08,,,20758.00,0
9634,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001354,GL0001566,2020-05-31,2020-06-08,,,17238.20,0
9630,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001353,GL0001565,2020-05-31,2020-06-08,,,4897.18,0
9640,ASCT-LT000058,For Me,Payment,Rent Receivables,ASCT-B0000749,GL0001450,2020-05-31,,,,0,-1114.34
10175,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001423,GL0001643,2020-06-30,2020-07-08,,,36291.48,0
10171,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001422,GL0001642,2020-06-30,2020-07-08,,,5512.25,0
10186,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-B0000788,GL0001646,2020-06-30,2020-04-08,,,1505.64,0
10182,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-B0000787,GL0001644,2020-06-30,2020-04-08,,,1461.78,0
10188,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-B0000788,GL0001647,2020-06-30,2020-06-08,,,451.56,0
10184,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-B0000787,GL0001645,2020-06-30,2020-06-08,,,442.71,0
10277,ASCT-LT000058,For Me,Payment,Rent Receivables,PRCHECK#1730061 / OR#005037,GL0001450,2020-07-07,,B-001,Land Bank of the Philippines,0,-19643.66
10279,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PRCHECK#1730061 / OR#005037,GL0001451,2020-07-07,,B-001,Land Bank of the Philippines,0,-29082.48
10463,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001466,GL0001697,2020-07-31,2020-08-15,,,29522.50,0
10459,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001465,GL0001696,2020-07-31,2020-08-15,,,5129.86,0
10708,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-B0000827,GL0001737,2020-07-31,2020-07-08,,,836.07,0
10706,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-B0000827,GL0001736,2020-07-31,2020-06-08,,,690.89,0
10711,ASCT-LT000058,For Me,Payment,Rent Receivables,ASCT-B0000827,GL0001565,2020-07-31,,,,0,-1114.34
10771,ASCT-LT000058,For Me,Payment,Rent Receivables,PRCHCK#1730719 / OR#005039,GL0001565,2020-08-07,,B-001,Land Bank of the Philippines,0,-3782.84
10775,ASCT-LT000058,For Me,Payment,Rent Receivables,PRCHCK#1730719 / OR#005039,GL0001642,2020-08-07,,B-001,Land Bank of the Philippines,0,-5512.25
10773,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PRCHCK#1730719 / OR#005039,GL0001566,2020-08-07,,B-001,Land Bank of the Philippines,0,-17238.20
10777,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PRCHCK#1730719 / OR#005039,GL0001643,2020-08-07,,B-001,Land Bank of the Philippines,0,-36291.48
11165,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001565,GL0001806,2020-08-31,2020-09-15,,,3536.36,0
11163,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001564,GL0001805,2020-08-31,2020-09-15,,,508.23,0
11146,ASCT-LT000058,For Me,Payment,Rent Receivables,PROR#030602,GL0001696,2020-09-11,,B-001,Land Bank of the Philippines,0,-5129.86
11148,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PROR#030602,GL0001697,2020-09-11,,B-001,Land Bank of the Philippines,0,-29522.50
11169,ASCT-LT000058,For Me,Invoice,A/R  Non Trade External,ASCT-IC0001566,GL0001807,2020-09-15,2020-09-23,,,40467.14,0
11176,ASCT-LT000058,For Me,Payment,Rent Receivables,PROR#030602,GL0001806,2020-09-24,,B-001,Land Bank of the Philippines,0,-3536.36
11178,ASCT-LT000058,For Me,Payment,A/R  Non Trade External,PROR#030602,GL0001807,2020-09-24,,B-001,Land Bank of the Philippines,0,-39358.82
