ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
6975,ASCT-LT000059,Penshoppe,Invoice,Rent Receivables,ASCT-IC0000944,GL0001108,2019-11-30,2019-12-08,,,26322.00,0
6979,ASCT-LT000059,Penshoppe,Invoice,A/R  Non Trade External,ASCT-IC0000945,GL0001109,2019-11-30,2019-12-08,,,4305.00,0
6985,ASCT-LT000059,Penshoppe,Payment,A/R  Non Trade External,ASCT-B0000545,GL0001109,2019-11-30,,,,0,-4305.00
6983,ASCT-LT000059,Penshoppe,Payment,Rent Receivables,ASCT-B0000545,GL0001108,2019-11-30,,,,0,-26322.00
7494,ASCT-LT000059,Penshoppe,Invoice,A/R  Non Trade External,ASCT-IC0001026,GL0001197,2019-12-31,2020-01-08,,,131381.60,0
7141,ASCT-LT000059,Penshoppe,Invoice,Rent Receivables,ASCT-IC0000956,GL0001123,2019-12-31,2020-01-08,,,26322.00,0
7501,ASCT-LT000059,Penshoppe,Payment,Rent Receivables,ASCT-B0000586,GL0001123,2019-12-31,,,,0,-26322.00
7503,ASCT-LT000059,Penshoppe,Payment,A/R  Non Trade External,ASCT-B0000586,GL0001197,2019-12-31,,,,0,-30791.00
7629,ASCT-LT000059,Penshoppe,Payment,A/R  Non Trade External,PRCHK# 1696355 / OR# 030429,GL0001197,2020-01-10,,B-001,Land Bank of the Philippines,0,-97876.87
7949,ASCT-LT000059,Penshoppe,Invoice,A/R  Non Trade External,ASCT-IC0001091,GL0001269,2020-01-31,2020-02-08,,,105171.25,0
7945,ASCT-LT000059,Penshoppe,Invoice,Rent Receivables,ASCT-IC0001090,GL0001268,2020-01-31,2020-02-08,,,87740.00,0
8038,ASCT-LT000059,Penshoppe,Invoice,A/R  Non Trade External,ASCT-B0000625,GL0001291,2020-01-31,2020-01-08,,,54.27,0
8581,ASCT-LT000059,Penshoppe,Payment,Rent Receivables,PRCHK# 1697404 / OR# 005005,GL0001268,2020-02-10,,B-001,Land Bank of the Philippines,0,-87740.00
8583,ASCT-LT000059,Penshoppe,Payment,A/R  Non Trade External,PRCHK# 1697404 / OR# 005005,GL0001269,2020-02-10,,B-001,Land Bank of the Philippines,0,-105171.25
8592,ASCT-LT000059,Penshoppe,Invoice,A/R  Non Trade External,ASCT-IC0001180,GL0001377,2020-02-29,2020-03-08,,,99015.67,0
8588,ASCT-LT000059,Penshoppe,Invoice,Rent Receivables,ASCT-IC0001179,GL0001376,2020-02-29,2020-03-08,,,87740.00,0
8598,ASCT-LT000059,Penshoppe,Invoice,A/R  Non Trade External,ASCT-B0000664,GL0001378,2020-02-29,2020-01-08,,,83.04,0
9402,ASCT-LT000059,Penshoppe,Payment,Rent Receivables,PRCHECK#1729281 / OR# 005023,GL0001376,2020-03-09,,B-001,Land Bank of the Philippines,0,-87740.00
