ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
5351,ASCT-LT000060,Marcela Chicken,Invoice,A/R  Non Trade External,ASCT-IC0000746,GL0000854,2019-08-31,2019-09-08,,,8973.63,0
5310,ASCT-LT000060,Marcela Chicken,Invoice,Rent Receivables,ASCT-IC0000741,GL0000847,2019-08-31,2019-09-08,,,8629.03,0
5749,ASCT-LT000060,Marcela Chicken,Invoice,A/R  Non Trade External,ASCT-IC0000806,GL0000918,2019-09-30,2019-10-08,,,16323.00,0
5745,ASCT-LT000060,Marcela Chicken,Invoice,Rent Receivables,ASCT-IC0000805,GL0000917,2019-09-30,2019-10-08,,,10700.00,0
6419,ASCT-LT000060,Marcela Chicken,Payment,Rent Receivables,PR030298,GL0000847,2019-10-05,,B-001,Land Bank of the Philippines,0,-8629.03
6421,ASCT-LT000060,Marcela Chicken,Payment,A/R  Non Trade External,PR030298,GL0000854,2019-10-05,,B-001,Land Bank of the Philippines,0,-8973.63
6423,ASCT-LT000060,Marcela Chicken,Payment,Rent Receivables,PR030360,GL0000917,2019-10-17,,B-001,Land Bank of the Philippines,0,-10700.00
6425,ASCT-LT000060,Marcela Chicken,Payment,A/R  Non Trade External,PR030360,GL0000918,2019-10-17,,B-001,Land Bank of the Philippines,0,-16323.00
6246,ASCT-LT000060,Marcela Chicken,Invoice,A/R  Non Trade External,ASCT-IC0000871,GL0001003,2019-10-31,2019-11-08,,,15358.00,0
6242,ASCT-LT000060,Marcela Chicken,Invoice,Rent Receivables,ASCT-IC0000870,GL0001002,2019-10-31,2019-11-08,,,10700.00,0
6511,ASCT-LT000060,Marcela Chicken,Payment,Rent Receivables,PR030375,GL0001002,2019-11-14,,B-001,Land Bank of the Philippines,0,-10700.00
6513,ASCT-LT000060,Marcela Chicken,Payment,A/R  Non Trade External,PR030375,GL0001003,2019-11-14,,B-001,Land Bank of the Philippines,0,-15358.00
