ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
5761,ASCT-LT000064,Mr. Softy,Invoice,Rent Receivables,ASCT-IC0000809,GL0000921,2019-09-30,2019-10-08,,,3923.34,0
5765,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-IC0000810,GL0000922,2019-09-30,2019-10-08,,,916.67,0
6272,ASCT-LT000064,Mr. Softy,Invoice,Rent Receivables,ASCT-IC0000876,GL0001010,2019-10-31,2019-11-08,,,10700.00,0
6276,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-IC0000877,GL0001011,2019-10-31,2019-11-08,,,5385.20,0
6438,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000512,GL0001026,2019-10-31,2019-10-08,,,96.80,0
6443,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,ASCT-B0000512,GL0000922,2019-10-31,,,,0,-916.67
6441,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,ASCT-B0000512,GL0000921,2019-10-31,,,,0,-3923.34
6445,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,ASCT-B0000512,GL0001010,2019-10-31,,,,0,-5859.99
7097,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030420,GL0001026,2019-11-05,,B-001,Land Bank of the Philippines,0,-96.80
7099,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030420,GL0001093,2019-11-05,,B-001,Land Bank of the Philippines,0,-204.50
7101,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,PROR# 030420,GL0001010,2019-11-05,,B-001,Land Bank of the Philippines,0,-4840.01
7103,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030420,GL0001011,2019-11-05,,B-001,Land Bank of the Philippines,0,-5084.69
6843,ASCT-LT000064,Mr. Softy,Invoice,Rent Receivables,ASCT-IC0000933,GL0001086,2019-11-30,2019-12-08,,,10700.00,0
6847,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-IC0000934,GL0001087,2019-11-30,2019-12-08,,,5797.00,0
6881,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000542,GL0001093,2019-11-30,2019-11-08,,,204.50,0
7188,ASCT-LT000064,Mr. Softy,Invoice,Rent Receivables,ASCT-IC0000965,GL0001132,2019-12-31,2020-01-08,,,10700.00,0
7192,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-IC0000966,GL0001133,2019-12-31,2020-01-08,,,4415.75,0
7200,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000555,GL0001135,2019-12-31,2019-12-08,,,329.94,0
7198,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000555,GL0001134,2019-12-31,2019-11-08,,,6.11,0
8247,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001134,2020-01-10,,B-001,Land Bank of the Philippines,0,-6.11
8251,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001293,2020-01-10,,B-001,Land Bank of the Philippines,0,-6.29
8257,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001011,2020-01-10,,B-001,Land Bank of the Philippines,0,-300.51
8255,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001295,2020-01-10,,B-001,Land Bank of the Philippines,0,-302.32
8249,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001135,2020-01-10,,B-001,Land Bank of the Philippines,0,-329.94
8253,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001294,2020-01-10,,B-001,Land Bank of the Philippines,0,-504.81
8265,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001133,2020-01-10,,B-001,Land Bank of the Philippines,0,-3506.02
8261,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 030448,GL0001087,2020-01-10,,B-001,Land Bank of the Philippines,0,-5797.00
8259,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,PROR# 030448,GL0001086,2020-01-10,,B-001,Land Bank of the Philippines,0,-10700.00
8263,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,PROR# 030448,GL0001132,2020-01-10,,B-001,Land Bank of the Philippines,0,-10700.00
7901,ASCT-LT000064,Mr. Softy,Invoice,Rent Receivables,ASCT-IC0001081,GL0001256,2020-01-31,2020-02-08,,,10700.00,0
7905,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-IC0001082,GL0001257,2020-01-31,2020-02-08,,,4964.45,0
8046,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000629,GL0001294,2020-01-31,2019-12-08,,,504.81,0
8048,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000629,GL0001295,2020-01-31,2020-01-08,,,302.32,0
8044,ASCT-LT000064,Mr. Softy,Invoice,A/R  Non Trade External,ASCT-B0000629,GL0001293,2020-01-31,2019-11-08,,,6.29,0
8732,ASCT-LT000064,Mr. Softy,Payment,A/R  Non Trade External,PROR# 005017,GL0001257,2020-02-13,,B-001,Land Bank of the Philippines,0,-4964.45
