ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
7455,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001018,GL0001190,2019-12-31,2020-01-08,,,12011.62,0
7459,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001019,GL0001191,2019-12-31,2020-01-08,,,4140.45,0
7598,ASCT-LT000072,Lugaw Bisdak,Payment,A/R  Non Trade External,PR030460,GL0001191,2020-01-13,,B-001,Land Bank of the Philippines,0,-4140.45
7596,ASCT-LT000072,Lugaw Bisdak,Payment,Rent Receivables,PR030460,GL0001190,2020-01-13,,B-001,Land Bank of the Philippines,0,-12011.62
8040,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001104,GL0001292,2020-01-31,2020-02-08,,,12840.00,0
7983,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001099,GL0001277,2020-01-31,2020-02-08,,,5277.00,0
7977,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001097,GL0001275,2020-01-31,2020-02-08,,,31.26,0
8538,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001170,GL0001366,2020-02-29,2020-03-08,,,12840.00,0
8542,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001171,GL0001367,2020-02-29,2020-03-08,,,4979.00,0
8548,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-B0000660,GL0001368,2020-02-29,2020-02-08,,,918.31,0
9027,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001253,GL0001455,2020-03-31,2020-04-08,,,6420.00,0
9031,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001254,GL0001456,2020-03-31,2020-04-08,,,3187.50,0
9614,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001349,GL0001561,2020-05-31,2020-06-08,,,6420.00,0
9618,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001350,GL0001562,2020-05-31,2020-06-08,,,2500.00,0
9360,ASCT-LT000072,Lugaw Bisdak,Payment,A/R  Non Trade External,PR30504,GL0001275,2020-06-19,,B-001,Land Bank of the Philippines,0,-31.26
9362,ASCT-LT000072,Lugaw Bisdak,Payment,A/R  Non Trade External,PR30504,GL0001368,2020-06-19,,B-001,Land Bank of the Philippines,0,-918.31
9364,ASCT-LT000072,Lugaw Bisdak,Payment,A/R  Non Trade External,PR30504,GL0001277,2020-06-19,,B-001,Land Bank of the Philippines,0,-5277.00
9366,ASCT-LT000072,Lugaw Bisdak,Payment,Rent Receivables,PR30504,GL0001292,2020-06-19,,B-001,Land Bank of the Philippines,0,-12840.00
10200,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001427,GL0001651,2020-06-30,2020-07-08,,,6420.00,0
10204,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001428,GL0001652,2020-06-30,2020-07-08,,,3300.00,0
10617,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001499,GL0001730,2020-07-31,2020-08-15,,,6420.00,0
10621,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001500,GL0001731,2020-07-31,2020-08-15,,,3003.50,0
10635,ASCT-LT000072,Lugaw Bisdak,Payment,Rent Receivables,PR30533,GL0001455,2020-08-08,,B-001,Land Bank of the Philippines,0,-534.57
10633,ASCT-LT000072,Lugaw Bisdak,Payment,A/R  Non Trade External,PR30533,GL0001367,2020-08-08,,B-001,Land Bank of the Philippines,0,-4979.00
10631,ASCT-LT000072,Lugaw Bisdak,Payment,Rent Receivables,PR30533,GL0001366,2020-08-08,,B-001,Land Bank of the Philippines,0,-12840.00
10982,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001545,GL0001783,2020-08-31,2020-09-15,,,6420.00,0
10986,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001546,GL0001784,2020-08-31,2020-09-15,,,4288.00,0
11474,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001627,GL0001870,2020-09-30,2020-10-15,,,6420.00,0
11478,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001628,GL0001871,2020-09-30,2020-10-15,,,4058.00,0
11908,ASCT-LT000072,Lugaw Bisdak,Invoice,Rent Receivables,ASCT-IC0001695,GL0001940,2020-10-31,2020-11-15,,,6420.00,0
11912,ASCT-LT000072,Lugaw Bisdak,Invoice,A/R  Non Trade External,ASCT-IC0001696,GL0001941,2020-10-31,2020-11-15,,,4230.50,0
11610,ASCT-LT000072,Lugaw Bisdak,Payment,Rent Receivables,PR30587,GL0001561,2020-11-03,,B-001,Land Bank of the Philippines,0,-535.07
11608,ASCT-LT000072,Lugaw Bisdak,Payment,A/R  Non Trade External,PR30587,GL0001456,2020-11-03,,B-001,Land Bank of the Philippines,0,-3187.50
