ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
7476,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001024,GL0001194,2019-12-31,2020-01-08,,,1864.26,0
7582,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR030457,GL0001194,2020-01-08,,B-001,Land Bank of the Philippines,0,-1864.26
8071,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001108,GL0001298,2020-01-31,2020-02-08,,,63820.32,0
8075,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001109,GL0001299,2020-01-31,2020-02-08,,,4816.00,0
8079,ASCT-LT000073,PNB,Payment,Rent Receivables,ASCT-B0000631,GL0001298,2020-01-31,,,,0,-43000.00
8124,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR030470,GL0001299,2020-02-07,,B-001,Land Bank of the Philippines,0,-4816.00
8122,ASCT-LT000073,PNB,Payment,Rent Receivables,PR030470,GL0001298,2020-02-07,,B-001,Land Bank of the Philippines,0,-20820.32
8664,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001189,GL0001389,2020-02-29,2020-03-08,,,40850.00,0
8668,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001190,GL0001390,2020-02-29,2020-03-08,,,6744.00,0
8692,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR030484,GL0001390,2020-03-06,,B-001,Land Bank of the Philippines,0,-6744.00
8690,ASCT-LT000073,PNB,Payment,Rent Receivables,PR030484,GL0001389,2020-03-06,,B-001,Land Bank of the Philippines,0,-40850.00
9045,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001257,GL0001459,2020-03-31,2020-04-08,,,34041.59,0
9049,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001258,GL0001460,2020-03-31,2020-04-08,,,3981.00,0
9626,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001352,GL0001564,2020-05-31,2020-06-08,,,58613.00,0
9622,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001351,GL0001563,2020-05-31,2020-06-08,,,20425.00,0
9370,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR30505,GL0001460,2020-06-24,,B-001,Land Bank of the Philippines,0,-3981.00
9368,ASCT-LT000073,PNB,Payment,Rent Receivables,PR30505,GL0001459,2020-06-24,,B-001,Land Bank of the Philippines,0,-34041.59
10212,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001430,GL0001654,2020-06-30,2020-07-08,,,51310.00,0
10208,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001429,GL0001653,2020-06-30,2020-07-08,,,30637.50,0
9839,ASCT-LT000073,PNB,Payment,Rent Receivables,PR030517,GL0001563,2020-07-15,,B-001,Land Bank of the Philippines,0,-20425.00
9841,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR030517,GL0001564,2020-07-15,,B-001,Land Bank of the Philippines,0,-58613.00
10230,ASCT-LT000073,PNB,Payment,Rent Receivables,PR030526,GL0001653,2020-07-29,,B-001,Land Bank of the Philippines,0,-30637.50
10232,ASCT-LT000073,PNB,Payment,A/R  Non Trade External,PR030526,GL0001654,2020-07-29,,B-001,Land Bank of the Philippines,0,-51310.00
10475,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001467,GL0001698,2020-07-31,2020-08-15,,,30637.50,0
10479,ASCT-LT000073,PNB,Invoice,A/R  Non Trade External,ASCT-IC0001468,GL0001699,2020-07-31,2020-08-31,,,22272.00,0
