ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
9760,ASCT-LT000077,CHOWKING,Invoice,A/R  Non Trade External,ASCT-IC0001363,GL0001579,2020-01-31,2020-02-08,,,188593.20,0
9756,ASCT-LT000077,CHOWKING,Invoice,Rent Receivables,ASCT-IC0001362,GL0001578,2020-01-31,2020-02-08,,,107131.87,0
9773,ASCT-LT000077,CHOWKING,Invoice,A/R  Non Trade External,ASCT-IC0001365,GL0001581,2020-02-29,2020-03-08,,,311504.16,0
9769,ASCT-LT000077,CHOWKING,Invoice,Rent Receivables,ASCT-IC0001364,GL0001580,2020-02-29,2020-03-08,,,100105.02,0
9939,ASCT-LT000077,CHOWKING,Invoice,A/R  Non Trade External,ASCT-IC0001387,GL0001605,2020-03-31,2020-04-08,,,230910.30,0
9935,ASCT-LT000077,CHOWKING,Invoice,Rent Receivables,ASCT-IC0001386,GL0001604,2020-03-31,2020-04-08,,,46143.75,0
9933,ASCT-LT000077,CHOWKING,Invoice,A/R  Non Trade External,ASCT-IC0001385,GL0001603,2020-03-31,2020-04-08,,,17792.14,0
9931,ASCT-LT000077,CHOWKING,Invoice,A/R  Non Trade External,ASCT-IC0001384,GL0001602,2020-03-31,2020-04-08,,,16511.18,0
9928,ASCT-LT000077,CHOWKING,Payment,Rent Receivables,PRJV#05000369,GL0001580,2020-05-27,,,,0,-100105.02
9922,ASCT-LT000077,CHOWKING,Payment,Rent Receivables,PRJV#05000370,GL0001578,2020-05-27,,,,0,-107131.87
9924,ASCT-LT000077,CHOWKING,Payment,A/R  Non Trade External,PRJV#05000370,GL0001579,2020-05-27,,,,0,-188593.20
9930,ASCT-LT000077,CHOWKING,Payment,A/R  Non Trade External,PRJV#05000369,GL0001581,2020-05-27,,,,0,-311504.16
10626,ASCT-LT000077,CHOWKING,Invoice,A/R  Non Trade External,ASCT-IC0001501,GL0001732,2020-05-31,2020-06-08,,,30108.00,0
