ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
11590,ASCT-LT000172,Real Me,Invoice,Rent Receivables,ASCT-IC0001639,GL0001884,2020-09-30,2020-10-15,,,10700.00,0
11594,ASCT-LT000172,Real Me,Invoice,A/R  Non Trade External,ASCT-IC0001640,GL0001885,2020-09-30,2020-10-15,,,3043.05,0
11600,ASCT-LT000172,Real Me,Payment,Rent Receivables,ASCT-B0000888,GL0001884,2020-09-30,,,,0,-10700.00
11654,ASCT-LT000172,Real Me,Payment,A/R  Non Trade External,PROR#030620,GL0001885,2020-10-27,,B-001,Land Bank of the Philippines,0,-3043.05
11935,ASCT-LT000172,Real Me,Invoice,Rent Receivables,ASCT-IC0001700,GL0001945,2020-10-31,2020-11-15,,,10700.00,0
11939,ASCT-LT000172,Real Me,Invoice,A/R  Non Trade External,ASCT-IC0001701,GL0001946,2020-10-31,2020-11-15,,,3304.36,0
11933,ASCT-LT000172,Real Me,Invoice,A/R  Non Trade External,ASCT-IC0001699,GL0001944,2020-10-31,2020-11-15,,,17.67,0
12337,ASCT-LT000172,Real Me,Payment,A/R  Non Trade External,PROR# 030634,GL0001946,2020-11-24,,B-001,Land Bank of the Philippines,0,-3304.36
12335,ASCT-LT000172,Real Me,Payment,Rent Receivables,PROR# 030634,GL0001945,2020-11-24,,B-001,Land Bank of the Philippines,0,-10700.00
12340,ASCT-LT000172,Real Me,Invoice,Rent Receivables,ASCT-IC0001756,GL0002004,2020-11-30,2020-12-15,,,10700.00,0
12344,ASCT-LT000172,Real Me,Invoice,A/R  Non Trade External,ASCT-IC0001757,GL0002005,2020-11-30,2020-12-15,,,3189.56,0
12338,ASCT-LT000172,Real Me,Invoice,A/R  Non Trade External,ASCT-IC0001755,GL0002003,2020-11-30,2020-12-15,,,308.10,0
