ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
21370,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR31586,GL0003010,2023-01-02,,B-001,Land Bank of the Philippines,4430.08,0
21372,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR31586,GL0003011,2023-01-02,,B-001,Land Bank of the Philippines,3569.92,0
21373,ASCT-LT000237,Terays Food Hub,Payment,A/R  Non Trade External,PR31586,GL0003011,2023-01-02,,B-001,Land Bank of the Philippines,0,-3569.92
21371,ASCT-LT000237,Terays Food Hub,Payment,Rent Receivables,PR31586,GL0003010,2023-01-02,,B-001,Land Bank of the Philippines,0,-4430.08
24548,ASCT-LT000237,Terays Food Hub,Invoice,A/R  Non Trade External,ASCT-IC0003292,GL0004150,2023-01-31,2023-02-08,,,5224.00,0
24529,ASCT-LT000237,Terays Food Hub,Invoice,Rent Receivables,ASCT-IC0003289,GL0004147,2023-01-31,2023-02-08,,,5000.00,0
24550,ASCT-LT000237,Terays Food Hub,Invoice,MI-Water,ASCT-IC0003292,GL0004150,2023-01-31,2023-02-08,,,0,-222.00
24551,ASCT-LT000237,Terays Food Hub,Invoice,MI-Light and Power,ASCT-IC0003292,GL0004150,2023-01-31,2023-02-08,,,0,-1290.00
24549,ASCT-LT000237,Terays Food Hub,Invoice,MI-Charges,ASCT-IC0003292,GL0004150,2023-01-31,2023-02-08,,,0,-3712.00
24532,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0003289,GL0004147,2023-01-31,2023-02-08,,,0,-5000.00
24586,ASCT-LT000237,Terays Food Hub,Invoice,A/R  Non Trade External,ASCT-IC0003298,GL0004156,2023-02-28,2023-03-08,,,5195.00,0
24570,ASCT-LT000237,Terays Food Hub,Invoice,Rent Receivables,ASCT-IC0003295,GL0004153,2023-02-28,2023-03-08,,,5000.00,0
24588,ASCT-LT000237,Terays Food Hub,Invoice,MI-Water,ASCT-IC0003298,GL0004156,2023-02-28,2023-03-08,,,0,-148.00
24589,ASCT-LT000237,Terays Food Hub,Invoice,MI-Light and Power,ASCT-IC0003298,GL0004156,2023-02-28,2023-03-08,,,0,-1335.00
24587,ASCT-LT000237,Terays Food Hub,Invoice,MI-Charges,ASCT-IC0003298,GL0004156,2023-02-28,2023-03-08,,,0,-3712.00
24573,ASCT-LT000237,Terays Food Hub,Invoice,Rent Income,ASCT-IC0003295,GL0004153,2023-02-28,2023-03-08,,,0,-5000.00
21530,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR031744,GL0003011,2023-03-07,,B-001,Land Bank of the Philippines,1685.08,0
21532,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR031744,GL0003014,2023-03-07,,B-001,Land Bank of the Philippines,314.92,0
21533,ASCT-LT000237,Terays Food Hub,Payment,Rent Receivables,PR031744,GL0003014,2023-03-07,,B-001,Land Bank of the Philippines,0,-314.92
21531,ASCT-LT000237,Terays Food Hub,Payment,A/R  Non Trade External,PR031744,GL0003011,2023-03-07,,B-001,Land Bank of the Philippines,0,-1685.08
21562,ASCT-LT000237,Terays Food Hub,Payment,Cash in Bank (Peso),PR31759,GL0003014,2023-03-25,,B-001,Land Bank of the Philippines,3000.00,0
21563,ASCT-LT000237,Terays Food Hub,Payment,Rent Receivables,PR31759,GL0003014,2023-03-25,,B-001,Land Bank of the Philippines,0,-3000.00
