ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
83,ICM-LT000015,JOLLIBEE,Invoice,Rent Receivables,IC0000015,GL0000015,2018-01-31,2018-02-15,,,464456.50,0
87,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000016,GL0000016,2018-01-31,2018-02-15,,,431855.06,0
85,ICM-LT000015,JOLLIBEE,Invoice,Creditable WHT Receivable,IC0000015,GL0000015,2018-01-31,2018-02-15,,,21703.57,0
88,ICM-LT000015,JOLLIBEE,Invoice,MI-Water,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-33341.35
90,ICM-LT000015,JOLLIBEE,Invoice,MI-Common Utilities,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-41234.00
89,ICM-LT000015,JOLLIBEE,Invoice,MI-Chilled Waters,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-43147.00
84,ICM-LT000015,JOLLIBEE,Invoice,VAT Output,IC0000015,GL0000015,2018-01-31,2018-02-15,,,0,-52088.58
91,ICM-LT000015,JOLLIBEE,Invoice,MI-Light and Power,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-126720.00
92,ICM-LT000015,JOLLIBEE,Invoice,MI-Charges,IC0000016,GL0000016,2018-01-31,2018-02-15,,,0,-187412.71
86,ICM-LT000015,JOLLIBEE,Invoice,Rent Income,IC0000015,GL0000015,2018-01-31,2018-02-15,,,0,-434071.49
1533,ICM-LT000015,JOLLIBEE,Invoice,Rent Receivables,IC0000275,GL0000282,2018-02-28,2018-03-15,,,438922.03,0
1537,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000276,GL0000283,2018-02-28,2018-03-15,,,414445.84,0
1535,ICM-LT000015,JOLLIBEE,Invoice,Creditable WHT Receivable,IC0000275,GL0000282,2018-02-28,2018-03-15,,,20510.37,0
1538,ICM-LT000015,JOLLIBEE,Invoice,MI-Water,IC0000276,GL0000283,2018-02-28,2018-03-15,,,0,-30782.97
1540,ICM-LT000015,JOLLIBEE,Invoice,MI-Common Utilities,IC0000276,GL0000283,2018-02-28,2018-03-15,,,0,-41234.00
1539,ICM-LT000015,JOLLIBEE,Invoice,MI-Chilled Waters,IC0000276,GL0000283,2018-02-28,2018-03-15,,,0,-43147.00
1534,ICM-LT000015,JOLLIBEE,Invoice,VAT Output,IC0000275,GL0000282,2018-02-28,2018-03-15,,,0,-49224.90
1541,ICM-LT000015,JOLLIBEE,Invoice,MI-Light and Power,IC0000276,GL0000283,2018-02-28,2018-03-15,,,0,-129360.00
1542,ICM-LT000015,JOLLIBEE,Invoice,MI-Charges,IC0000276,GL0000283,2018-02-28,2018-03-15,,,0,-169921.87
1536,ICM-LT000015,JOLLIBEE,Invoice,Rent Income,IC0000275,GL0000282,2018-02-28,2018-03-15,,,0,-410207.50
4048,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV03001888,GL0000015,2018-03-27,,,,464456.50,0
4050,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV03001888,GL0000016,2018-03-27,,,,431855.06,0
4051,ICM-LT000015,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV03001888,GL0000016,2018-03-27,,,,0,-431855.06
4049,ICM-LT000015,JOLLIBEE,Payment,Rent Receivables,PRJV03001888,GL0000015,2018-03-27,,,,0,-464456.50
4007,ICM-LT000015,JOLLIBEE,Invoice,Rent Receivables,IC0000594,GL0000654,2018-03-31,2018-04-16,,,474364.13,0
4011,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000595,GL0000655,2018-03-31,2018-04-16,,,396978.56,0
4009,ICM-LT000015,JOLLIBEE,Invoice,Creditable WHT Receivable,IC0000594,GL0000654,2018-03-31,2018-04-16,,,22166.55,0
4012,ICM-LT000015,JOLLIBEE,Invoice,MI-Water,IC0000595,GL0000655,2018-03-31,2018-04-16,,,0,-26547.05
4014,ICM-LT000015,JOLLIBEE,Invoice,MI-Common Utilities,IC0000595,GL0000655,2018-03-31,2018-04-16,,,0,-41234.00
4013,ICM-LT000015,JOLLIBEE,Invoice,MI-Chilled Waters,IC0000595,GL0000655,2018-03-31,2018-04-16,,,0,-43147.00
4008,ICM-LT000015,JOLLIBEE,Invoice,VAT Output,IC0000594,GL0000654,2018-03-31,2018-04-16,,,0,-53199.72
4015,ICM-LT000015,JOLLIBEE,Invoice,MI-Light and Power,IC0000595,GL0000655,2018-03-31,2018-04-16,,,0,-126720.00
4016,ICM-LT000015,JOLLIBEE,Invoice,MI-Charges,IC0000595,GL0000655,2018-03-31,2018-04-16,,,0,-159330.51
4010,ICM-LT000015,JOLLIBEE,Invoice,Rent Income,IC0000594,GL0000654,2018-03-31,2018-04-16,,,0,-443330.96
9233,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV-04001161,GL0000654,2018-04-20,,,,474364.13,0
9221,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV-04001131,GL0000282,2018-04-20,,,,438922.03,0
9223,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV-04001131,GL0000283,2018-04-20,,,,414445.84,0
9235,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV-04001161,GL0000655,2018-04-20,,,,396978.54,0
9236,ICM-LT000015,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV-04001161,GL0000655,2018-04-20,,,,0,-396978.54
9224,ICM-LT000015,JOLLIBEE,Payment,A/R Non Trade Internal,PRJV-04001131,GL0000283,2018-04-20,,,,0,-414445.84
9222,ICM-LT000015,JOLLIBEE,Payment,Rent Receivables,PRJV-04001131,GL0000282,2018-04-20,,,,0,-438922.03
9234,ICM-LT000015,JOLLIBEE,Payment,Rent Receivables,PRJV-04001161,GL0000654,2018-04-20,,,,0,-474364.13
5969,ICM-LT000015,JOLLIBEE,Invoice,Rent Receivables,IC0000868,GL0000996,2018-04-30,2018-05-15,,,524652.94,0
5973,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0000869,GL0000997,2018-04-30,2018-05-15,,,420373.66,0
5971,ICM-LT000015,JOLLIBEE,Invoice,Creditable WHT Receivable,IC0000868,GL0000996,2018-04-30,2018-05-15,,,24516.49,0
5974,ICM-LT000015,JOLLIBEE,Invoice,MI-Water,IC0000869,GL0000997,2018-04-30,2018-05-15,,,0,-30527.63
5976,ICM-LT000015,JOLLIBEE,Invoice,MI-Common Utilities,IC0000869,GL0000997,2018-04-30,2018-05-15,,,0,-41234.00
5975,ICM-LT000015,JOLLIBEE,Invoice,MI-Chilled Waters,IC0000869,GL0000997,2018-04-30,2018-05-15,,,0,-43147.00
5970,ICM-LT000015,JOLLIBEE,Invoice,VAT Output,IC0000868,GL0000996,2018-04-30,2018-05-15,,,0,-58839.58
5977,ICM-LT000015,JOLLIBEE,Invoice,MI-Light and Power,IC0000869,GL0000997,2018-04-30,2018-05-15,,,0,-129360.00
5978,ICM-LT000015,JOLLIBEE,Invoice,MI-Charges,IC0000869,GL0000997,2018-04-30,2018-05-15,,,0,-176105.03
5972,ICM-LT000015,JOLLIBEE,Invoice,Rent Income,IC0000868,GL0000996,2018-04-30,2018-05-15,,,0,-490329.85
8869,ICM-LT000015,JOLLIBEE,Invoice,Rent Receivables,IC0001218,GL0001429,2018-05-31,2018-06-15,,,590332.28,0
8873,ICM-LT000015,JOLLIBEE,Invoice,A/R Non Trade Internal,IC0001219,GL0001430,2018-05-31,2018-06-15,,,446420.10,0
8871,ICM-LT000015,JOLLIBEE,Invoice,Creditable WHT Receivable,IC0001218,GL0001429,2018-05-31,2018-06-15,,,27585.62,0
8874,ICM-LT000015,JOLLIBEE,Invoice,MI-Water,IC0001219,GL0001430,2018-05-31,2018-06-15,,,0,-32253.52
8876,ICM-LT000015,JOLLIBEE,Invoice,MI-Common Utilities,IC0001219,GL0001430,2018-05-31,2018-06-15,,,0,-41234.00
8875,ICM-LT000015,JOLLIBEE,Invoice,MI-Chilled Waters,IC0001219,GL0001430,2018-05-31,2018-06-15,,,0,-43147.00
8870,ICM-LT000015,JOLLIBEE,Invoice,VAT Output,IC0001218,GL0001429,2018-05-31,2018-06-15,,,0,-66205.49
8877,ICM-LT000015,JOLLIBEE,Invoice,MI-Light and Power,IC0001219,GL0001430,2018-05-31,2018-06-15,,,0,-143880.00
8878,ICM-LT000015,JOLLIBEE,Invoice,MI-Charges,IC0001219,GL0001430,2018-05-31,2018-06-15,,,0,-185905.58
8872,ICM-LT000015,JOLLIBEE,Invoice,Rent Income,IC0001218,GL0001429,2018-05-31,2018-06-15,,,0,-551712.41
25532,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV-1604,GL0001429,2018-06-26,,,,590332.28,0
25528,ICM-LT000015,JOLLIBEE,Payment,Advances to/from AGC H.O,PRJV-0601582,GL0000996,2018-06-26,,,,524652.94,0
