ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
871,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0000172,GL0000175,2018-02-28,2018-03-08,,,67856.01,0
2191,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000025,GL0000175,2018-03-05,0000-00-00,B-012,Banks of the Philippine Islands,0,-67856.01
2216,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0000343,GL0000373,2018-03-31,2018-04-10,,,67856.01,0
4423,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000074,GL0000373,2018-04-16,,B-012,Banks of the Philippine Islands,0,-67856.01
5205,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0000745,GL0000835,2018-04-30,2018-05-08,,,67856.01,0
6724,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000111,GL0000835,2018-05-11,,B-012,Banks of the Philippine Islands,0,-67856.01
7486,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0001002,GL0001171,2018-05-31,2018-06-08,,,67856.01,0
9527,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000167,GL0001171,2018-06-13,,B-012,Banks of the Philippine Islands,0,-67856.01
10676,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0001438,GL0001732,2018-06-30,2018-07-08,,,67856.01,0
13279,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000243,GL0001732,2018-07-11,,B-012,Banks of the Philippine Islands,0,-67856.01
14536,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0001907,GL0002387,2018-07-31,2018-08-08,,,74641.60,0
16318,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000284,GL0002387,2018-08-03,,B-012,Banks of the Philippine Islands,0,-74641.60
16915,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0002104,GL0002651,2018-08-31,2018-09-10,,,74641.60,0
21529,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000363,GL0002651,2018-09-10,,B-012,Banks of the Philippine Islands,0,-74641.60
23467,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0003043,GL0003806,2018-09-30,2018-10-08,,,74641.60,0
26135,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000431,GL0003806,2018-10-09,,B-012,Banks of the Philippine Islands,0,-74641.60
27141,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0003457,GL0004330,2018-10-31,2018-11-10,,,74641.60,0
31661,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000521,GL0004330,2018-11-12,,B-012,Banks of the Philippine Islands,0,-74641.60
32663,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0004158,GL0005217,2018-11-30,2018-12-08,,,74641.60,0
38054,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000613,GL0005217,2018-12-11,,B-012,Banks of the Philippine Islands,0,-74641.60
38059,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0004961,GL0006213,2018-12-31,2019-01-08,,,74641.60,0
41332,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000690,GL0006213,2019-01-08,,B-012,Banks of the Philippine Islands,0,-67.66
40624,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000656,GL0006213,2019-01-08,,B-012,Banks of the Philippine Islands,0,-74573.94
42449,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0005404,GL0006883,2019-01-31,2019-02-09,,,74641.60,0
42496,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables,B0002944,GL0006883,2019-01-31,,,,0,-3.65
48944,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables-RR Clearing,UFT0000813,GL0006883,2019-02-07,,B-012,Banks of the Philippine Islands,0,-74637.95
48949,ICM-LT000074,THINKING TOOLS,Invoice,Rent Receivables,IC0005992,GL0008210,2019-02-28,2019-03-08,,,74641.60,0
48960,ICM-LT000074,THINKING TOOLS,Payment,Rent Receivables,B0003280,GL0008210,2019-02-28,,,,0,-3.65
