ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
77710,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0009515,GL0012770,2019-07-31,2019-08-08,,,26750.00,0
77714,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,DM0000024,GL0012771,2019-07-31,2019-08-08,,,8024.99,0
84023,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0010312,GL0013857,2019-08-31,2019-09-08,,,26750.00,0
84174,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables,B0005703,GL0012771,2019-08-31,,,,0,-8024.99
84176,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables,B0005703,GL0012770,2019-08-31,,,,0,-17530.81
91226,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0011100,GL0015017,2019-09-30,2019-10-08,,,26750.00,0
110108,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000031,GL0015723,2019-10-15,,,,0,-7090.87
110110,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000032,GL0015723,2019-10-15,,,,0,-15892.74
110114,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000032,GL0016785,2019-10-15,,,,0,-26750.00
96044,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0011644,GL0015723,2019-10-31,2019-11-11,,,26750.00,0
104384,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000025,GL0015723,2019-11-20,,,,0,-3766.39
104380,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000025,GL0015017,2019-11-20,,,,0,-21980.90
102801,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0012485,GL0016785,2019-11-30,2019-12-08,,,26750.00,0
110119,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0013390,GL0017984,2019-12-31,2020-01-10,,,26750.00,0
117239,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0014187,GL0019027,2020-01-31,2020-02-10,,,26750.00,0
124268,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-RR Clearing,UFT0002021,GL0015017,2020-02-18,,B-011,BPI Alturas Supermarket Corp,0,-4769.10
