ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
77710,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0009515,GL0012770,2019-07-31,2019-08-08,,,26750.00,0
77726,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0009518,GL0012774,2019-07-31,2019-08-08,,,16339.50,0
77714,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,DM0000024,GL0012771,2019-07-31,2019-08-08,,,8024.99,0
84023,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0010312,GL0013857,2019-08-31,2019-09-08,,,26750.00,0
84027,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0010313,GL0013858,2019-08-31,2019-09-08,,,16128.00,0
84171,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,B0005703,GL0013883,2019-08-31,2019-08-08,,,1022.29,0
84174,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables,B0005703,GL0012771,2019-08-31,,,,0,-8024.99
84176,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables,B0005703,GL0012770,2019-08-31,,,,0,-17530.81
91226,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0011100,GL0015017,2019-09-30,2019-10-08,,,26750.00,0
91230,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0011101,GL0015018,2019-09-30,2019-10-08,,,14874.00,0
91241,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,B0006123,GL0015022,2019-09-30,2019-09-08,,,857.56,0
91239,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,B0006123,GL0015021,2019-09-30,2019-08-08,,,797.43,0
110113,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000032,GL0016785,2019-10-15,,,,26750.00,0
110109,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000032,GL0015723,2019-10-15,,,,15892.74,0
110111,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000032,GL0015724,2019-10-15,,,,15128.00,0
110115,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000032,GL0016786,2019-10-15,,,,10259.23,0
110107,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000031,GL0015723,2019-10-15,,,,7090.87,0
110105,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000031,GL0017104,2019-10-15,,,,762.23,0
110106,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R  Non Trade External-ARNTI,IP0000031,GL0017104,2019-10-15,,,,0,-762.23
110108,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000031,GL0015723,2019-10-15,,,,0,-7090.87
110116,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R  Non Trade External-ARNTI,IP0000032,GL0016786,2019-10-15,,,,0,-10259.23
110112,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R  Non Trade External-ARNTI,IP0000032,GL0015724,2019-10-15,,,,0,-15128.00
110110,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000032,GL0015723,2019-10-15,,,,0,-15892.74
110114,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000032,GL0016785,2019-10-15,,,,0,-26750.00
96044,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0011644,GL0015723,2019-10-31,2019-11-11,,,26750.00,0
96048,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0011645,GL0015724,2019-10-31,2019-11-11,,,15128.00,0
100470,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,B0006736,GL0016296,2019-10-31,2019-10-08,,,737.10,0
104379,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000025,GL0015017,2019-11-20,,,,21980.90,0
104381,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000025,GL0015018,2019-11-20,,,,14874.00,0
104383,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000025,GL0015723,2019-11-20,,,,3766.39,0
104377,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R Non Trade Internal-ALTA CITTA,IP0000025,GL0016296,2019-11-20,,,,737.10,0
104378,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R  Non Trade External-ARNTI,IP0000025,GL0016296,2019-11-20,,,,0,-737.10
104384,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000025,GL0015723,2019-11-20,,,,0,-3766.39
104382,ICM-LT000442,POTATO CORNER- NEW,Payment,A/R  Non Trade External-ARNTI,IP0000025,GL0015018,2019-11-20,,,,0,-14874.00
104380,ICM-LT000442,POTATO CORNER- NEW,Payment,Rent Receivables-ARNTI,IP0000025,GL0015017,2019-11-20,,,,0,-21980.90
102801,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0012485,GL0016785,2019-11-30,2019-12-08,,,26750.00,0
102805,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0012486,GL0016786,2019-11-30,2019-12-08,,,15644.00,0
104385,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,B0007086,GL0017104,2019-11-30,2019-11-11,,,762.23,0
110119,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0013390,GL0017984,2019-12-31,2020-01-10,,,26750.00,0
110123,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0013391,GL0017985,2019-12-31,2020-01-10,,,15226.00,0
110117,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0013389,GL0017983,2019-12-31,2020-01-10,,,193.01,0
110128,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,B0007452,GL0017986,2019-12-31,2019-12-08,,,107.70,0
117239,ICM-LT000442,POTATO CORNER- NEW,Invoice,Rent Receivables,IC0014187,GL0019027,2020-01-31,2020-02-10,,,26750.00,0
117243,ICM-LT000442,POTATO CORNER- NEW,Invoice,A/R  Non Trade External,IC0014188,GL0019028,2020-01-31,2020-02-10,,,18432.86,0
