ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
92953,PM-LT000045,ALIBABA,Payment,Security Deposit Payable,PR021409,GL0015210,2019-10-03,,B-004,Land Bank of the Philippines,36000.00,0
92951,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0001501,GL0015210,2019-10-03,,B-004,Land Bank of the Philippines,36000.00,0
92949,PM-LT000045,ALIBABA,Payment,Unearned Rent Income,PR027467,GL0015209,2019-10-03,,B-004,Land Bank of the Philippines,12840.00,0
92947,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0001500,GL0015209,2019-10-03,,B-004,Land Bank of the Philippines,12840.00,0
92950,PM-LT000045,ALIBABA,Payment,Unearned Rent Income,PR027467,GL0015209,2019-10-03,,B-004,Land Bank of the Philippines,0,-12840.00
92948,PM-LT000045,ALIBABA,Payment,Unearned Rent Income,UFT0001500,GL0015209,2019-10-03,,B-004,Land Bank of the Philippines,0,-12840.00
92954,PM-LT000045,ALIBABA,Payment,Security Deposit Payable,PR021409,GL0015210,2019-10-03,,B-004,Land Bank of the Philippines,0,-36000.00
92952,PM-LT000045,ALIBABA,Payment,Security Deposit Payable,UFT0001501,GL0015210,2019-10-03,,B-004,Land Bank of the Philippines,0,-36000.00
96113,PM-LT000045,ALIBABA,Payment,Unearned Rent Income,B0006423,GL0015209,2019-10-31,,,,9940.64,0
94377,PM-LT000045,ALIBABA,Invoice,Rent Receivables,IC0011322,GL0015305,2019-10-31,2019-11-10,,,9940.64,0
96108,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0011656,GL0015738,2019-10-31,2019-11-10,,,2915.97,0
96115,PM-LT000045,ALIBABA,Payment,Unearned Rent Income,B0006423,GL0015209,2019-10-31,,,,2899.36,0
94379,PM-LT000045,ALIBABA,Invoice,Creditable WHT Receivable,IC0011322,GL0015305,2019-10-31,2019-11-10,,,464.52,0
120455,PM-LT000045,ALIBABA,Invoice,Creditable WHT Receivable,IC0011656,GL0015738,2019-10-31,2019-11-10,,,59.51,0
96112,PM-LT000045,ALIBABA,Invoice,MI-Charges,IC0011656,GL0015738,2019-10-31,2019-11-10,,,0,-387.10
96109,PM-LT000045,ALIBABA,Invoice,MI-Aircon Charges,IC0011656,GL0015738,2019-10-31,2019-11-10,,,0,-774.19
96110,PM-LT000045,ALIBABA,Invoice,MI-Common Utilities,IC0011656,GL0015738,2019-10-31,2019-11-10,,,0,-774.19
96111,PM-LT000045,ALIBABA,Invoice,MI-Light and Power,IC0011656,GL0015738,2019-10-31,2019-11-10,,,0,-1040.00
94378,PM-LT000045,ALIBABA,Invoice,VAT Output,IC0011322,GL0015305,2019-10-31,2019-11-10,,,0,-1114.84
96116,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,B0006423,GL0015738,2019-10-31,,,,0,-2899.36
94380,PM-LT000045,ALIBABA,Invoice,Rent Income,IC0011322,GL0015305,2019-10-31,2019-11-10,,,0,-9290.32
96114,PM-LT000045,ALIBABA,Payment,Rent Receivables,B0006423,GL0015305,2019-10-31,,,,0,-9940.64
100614,PM-LT000045,ALIBABA,Invoice,Rent Receivables,IC0012072,GL0016304,2019-11-30,2019-12-10,,,12840.00,0
102726,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0012472,GL0016768,2019-11-30,2019-12-10,,,5274.36,0
100616,PM-LT000045,ALIBABA,Invoice,Creditable WHT Receivable,IC0012072,GL0016304,2019-11-30,2019-12-10,,,600.00,0
102731,PM-LT000045,ALIBABA,Invoice,Creditable WHT Receivable,IC0012472,GL0016768,2019-11-30,2019-12-10,,,107.64,0
102732,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0006945,GL0016769,2019-11-30,2019-11-10,,,0.33,0
102733,PM-LT000045,ALIBABA,Invoice,MI-Penalties,B0006945,GL0016769,2019-11-30,2019-11-10,,,0,-0.33
102730,PM-LT000045,ALIBABA,Invoice,MI-Charges,IC0012472,GL0016768,2019-11-30,2019-12-10,,,0,-500.00
102728,PM-LT000045,ALIBABA,Invoice,MI-Common Utilities,IC0012472,GL0016768,2019-11-30,2019-12-10,,,0,-1000.00
102727,PM-LT000045,ALIBABA,Invoice,MI-Aircon Charges,IC0012472,GL0016768,2019-11-30,2019-12-10,,,0,-1000.00
100615,PM-LT000045,ALIBABA,Invoice,VAT Output,IC0012072,GL0016304,2019-11-30,2019-12-10,,,0,-1440.00
102729,PM-LT000045,ALIBABA,Invoice,MI-Light and Power,IC0012472,GL0016768,2019-11-30,2019-12-10,,,0,-2882.00
100617,PM-LT000045,ALIBABA,Invoice,Rent Income,IC0012072,GL0016304,2019-11-30,2019-12-10,,,0,-12000.00
106819,PM-LT000045,ALIBABA,Invoice,Rent Receivables,IC0012841,GL0017296,2019-12-31,2020-01-10,,,12840.00,0
109157,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0013227,GL0017776,2019-12-31,2020-01-10,,,5123.44,0
106821,PM-LT000045,ALIBABA,Invoice,Creditable WHT Receivable,IC0012841,GL0017296,2019-12-31,2020-01-10,,,600.00,0
127118,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0008461,GL0020392,2019-12-31,2019-12-10,,,362.29,0
125056,PM-LT000045,ALIBABA,Invoice,Creditable WHT Receivable,IC0013227,GL0017776,2019-12-31,2020-01-10,,,104.56,0
127116,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0008461,GL0020391,2019-12-31,2019-11-10,,,0.51,0
127117,PM-LT000045,ALIBABA,Invoice,MI-Penalties,B0008461,GL0020391,2019-12-31,2019-11-10,,,0,-0.51
127119,PM-LT000045,ALIBABA,Invoice,MI-Penalties,B0008461,GL0020392,2019-12-31,2019-12-10,,,0,-362.29
109161,PM-LT000045,ALIBABA,Invoice,MI-Charges,IC0013227,GL0017776,2019-12-31,2020-01-10,,,0,-500.00
109158,PM-LT000045,ALIBABA,Invoice,MI-Aircon Charges,IC0013227,GL0017776,2019-12-31,2020-01-10,,,0,-1000.00
109159,PM-LT000045,ALIBABA,Invoice,MI-Common Utilities,IC0013227,GL0017776,2019-12-31,2020-01-10,,,0,-1000.00
106820,PM-LT000045,ALIBABA,Invoice,VAT Output,IC0012841,GL0017296,2019-12-31,2020-01-10,,,0,-1440.00
109160,PM-LT000045,ALIBABA,Invoice,MI-Light and Power,IC0013227,GL0017776,2019-12-31,2020-01-10,,,0,-2728.00
106822,PM-LT000045,ALIBABA,Invoice,Rent Income,IC0012841,GL0017296,2019-12-31,2020-01-10,,,0,-12000.00
127374,PM-LT000045,ALIBABA,Payment,Rent Receivables,PR028090,GL0016304,2020-01-07,,B-004,Land Bank of the Philippines,12840.00,0
127368,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0016304,2020-01-07,,B-004,Land Bank of the Philippines,12840.00,0
127376,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,4911.56,0
127370,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,4911.56,0
127380,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,362.29,0
127364,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,362.29,0
127372,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,16.61,0
127366,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,16.61,0
127378,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0.51,0
127362,PM-LT000045,ALIBABA,Payment,Cash in Bank (Peso),UFT0002076,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0.51,0
127379,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0,-0.51
127363,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002076,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0,-0.51
127373,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,0,-16.61
127367,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002076,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,0,-16.61
127381,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,0,-362.29
