ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
96108,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0011656,GL0015738,2019-10-31,2019-11-10,,,2915.97,0
96116,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,B0006423,GL0015738,2019-10-31,,,,0,-2899.36
102726,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0012472,GL0016768,2019-11-30,2019-12-10,,,5274.36,0
102732,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0006945,GL0016769,2019-11-30,2019-11-10,,,0.33,0
109157,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0013227,GL0017776,2019-12-31,2020-01-10,,,5123.44,0
127118,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0008461,GL0020392,2019-12-31,2019-12-10,,,362.29,0
127116,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0008461,GL0020391,2019-12-31,2019-11-10,,,0.51,0
127376,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,4911.56,0
127380,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,362.29,0
127372,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,16.61,0
127378,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0.51,0
127379,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0,-0.51
127363,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002076,GL0020391,2020-01-07,,B-004,Land Bank of the Philippines,0,-0.51
127373,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,0,-16.61
127367,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002076,GL0015738,2020-01-07,,B-004,Land Bank of the Philippines,0,-16.61
127381,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,0,-362.29
127365,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002076,GL0020392,2020-01-07,,B-004,Land Bank of the Philippines,0,-362.29
127377,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028090,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,0,-4911.56
127371,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002076,GL0016768,2020-01-07,,B-004,Land Bank of the Philippines,0,-4911.56
127383,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002077,GL0016768,2020-01-30,,B-004,Land Bank of the Philippines,0,-362.80
127387,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,UFT0002077,GL0017776,2020-01-30,,B-004,Land Bank of the Philippines,0,-4760.64
127406,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0015218,GL0020410,2020-01-31,2020-02-10,,,4994.08,0
127392,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028056,GL0017776,2020-01-31,,B-004,Land Bank of the Philippines,4760.64,0
127388,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028056,GL0016768,2020-01-31,,B-004,Land Bank of the Philippines,362.80,0
127398,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,IC0015216,GL0020408,2020-01-31,2020-02-10,,,185.43,0
127412,PM-LT000045,ALIBABA,Invoice,A/R  Non Trade External,B0008466,GL0020411,2020-01-31,2020-01-10,,,7.26,0
127389,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028056,GL0016768,2020-01-31,,B-004,Land Bank of the Philippines,0,-362.80
127393,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028056,GL0017776,2020-01-31,,B-004,Land Bank of the Philippines,0,-4760.64
127438,PM-LT000045,ALIBABA,Payment,A/R  Non Trade External,PR028084,GL0020410,2020-02-10,,B-004,Land Bank of the Philippines,4994.08,0
